ID,Coding_Frame_ID,Index_Number,Coding_Set_ID,Argument_Type,Microrole_IDs
4238251136-1,4238251136,1,3721243445,X,screamer;rolling-entity;laugher;sad-person;crier;fallee;appearer;cougher;runner;jumper;player;shouter;blinker;sick-person;getting-dressed-person;shaver-of-self
4238289226-1,4238289226,1,3797857495,A,carrier;cooker;wiper;seeer;thinker;beater;maker;toucher;breaker;builder;climber;digger;follower;frightener;hearer;helper;hider;knower;liker;player;pusher;searcher;shaver-of-body-part;shouter;singer;stealer;thrower;eater;hugger;washer;tearer;fearer;smeller;peeler;looker;goer;leaver
4238289226-2,4238289226,2,3797857495,P,carried-thing;cooked-food;wiped-material;thought-content;seen-entity;beatee;made-thing;touchee;broken-thing;built-thing;climbing-goal;dug-up-thing;followee;frightenee;heard-sound;helpee;hidden-thing;known-thing-or-person;liked-entity;pushee;searched-for-thing;shaved-body-part;shoutee;stolen-thing;thrown-thing;eaten-food;huggee;washed-entity;torn-thing;fear-stimulus;smelled-entity;toy;song;peeled-object;looked-at-entity;going-goal;left-place-or-person
4298676080-1,4298676080,1,3720896347,A,eater;seeer;hugger;looker;smeller;fearer;frightener;knower;searcher;washer;dresser;helper;follower;meeter;shouter;hearer;digger;cooker;leaver;peeler;climber;wanter;roller-tr;boiler-tr
4298676080-2,4298676080,2,3720897935,P,eaten-food;seen-entity;huggee;looked-at-entity;smelled-entity;fear-stimulus;frightenee;known-thing-or-person;searched-for-thing;washed-entity;dressee;helpee;followee;met-person;shoutee;heard-sound;dug-up-thing;cooked-food;left-place-or-person;climbing-goal;wanted-thing;peeled-object;rolling-thing-tr;boiled-thing-tr
4301873762-1,4301873762,1,3721088397,X,liker
4301873762-2,4301873762,2,3720896347,S,liked-entity
4301902544-1,4301902544,1,3720896347,S,thinker
4301902544-2,4301902544,2,3721088397,X,thought-content
4302032358-1,4302032358,1,3720896347,A,namer
4302032358-2,4302032358,2,3720897935,P,namee
4302032358-3,4302032358,3,3720897935,P,name
4302041977-1,4302041977,1,3720896347,A,grinder;breaker;killer;toucher;cutter;beater;hitter;assassin;coverer;filler;sink-causer-tr;burner-tr
4302041977-2,4302041977,2,3720897935,P,ground-thing;broken-thing;killee;touchee;cut-thing;beatee;hittee;assassinee;covered-thing;filled-container;sunken-entity-tr;burnt-thing-tr
4302041977-3,4302041977,3,9907796986,I,grinding-instrument;breaking-instrument;killing-instrument;touching-instrument;cutting-instrument;beating-instrument;hitting-instrument;assassination-instrument;cover;filling-material;sinking-instrument;burn-instrument-tr
4323564222-1,4323564222,1,4522850980,S,cougher;runner;jumper;singer;dieer;fallee;freezing-person;hungry-person;rain;blinker;sad-person;sunken-entity;burnt-thing;dry-thing;boiled-thing;hunter
4323573057-1,4323573057,1,4522850980,A,cutter;toucher;beater;hitter;killer;breaker;grinder;digger
4323573057-2,4323573057,2,4522863495,P,cut-thing;touchee;beatee;hittee;killee;broken-thing;ground-thing;dug-up-thing
4323573057-3,4323573057,3,12101313760,I,cutting-instrument;touching-instrument;beating-instrument;hitting-instrument;killing-instrument;breaking-instrument;grinding-instrument;digging-instrument
4323589689-1,4323589689,1,3720896347,S,
4323589689-2,4323589689,2,9907796986,I,
4323589689-3,4323589689,3,3721058926,X,
4332933120-1,4332933120,1,11237218450,A,putter
4332933120-2,4332933120,2,4656228528,P,put-thing
4332933120-3,4332933120,3,4656646213,L,putting-goal
4333019405-1,4333019405,1,3737373736,S,talker
4333019405-2,4333019405,2,3737429844,X,talked-to-person
4333019405-3,4333019405,3,3865748586,X,talked-about-content
4333034006-1,4333034006,1,3737373736,S,sayer
4333034006-2,4333034006,2,3834142628,X,said-content
4333034006-3,4333034006,3,3737429844,X,saying-addressee
4333093764-1,4333093764,1,3797285842,S,cougher;crier;boiled-thing;laugher;screamer;player;sad-person;runner;freezing-person;jumper;dry-thing;rolling-entity;burnt-thing;blinker;pain-locus;dieer;sick-person;hungry-person
4333118670-1,4333118670,1,3797285842,S,liver;climber;sitter;goer;sitdowner
4333118670-2,4333118670,2,5993900296,L,living-place;climbing-goal;sitting-place;going-goal;sitting-down-place
4757648034-1,4757648034,1,3720896347,A,bringer;teacher;hider;shower;giver;sender;asker;teller;sayer;shaver-of-body-part
4757648034-2,4757648034,2,3720897935,P,brought-thing;taught-content;hidden-thing;shown-thing;gift;sent-thing;requested-thing;told-content;said-content;shaved-body-part
4757648034-3,4757648034,3,3721088397,X,bringing-recipient;teachee;hiding-affectee;showing-addressee;giving-recipient;sending-recipient;askee;tellee;saying-addressee;shaved-person
4757686076-1,4757686076,1,3720896347,A,maker;builder
4757686076-2,4757686076,2,3720897935,P,made-thing;built-thing
4757686076-3,4757686076,3,3721058926,X,making-material;building-material
4757696113-1,4757696113,1,3720896347,S,goer;liver;pain-feeler;freezing-person;sitdowner;sitter
4757696113-2,4757696113,2,9907756370,L,going-goal;living-place;pain-locus;sitting-down-place;feeling-cold-locus;sitting-place
4757700126-1,4757700126,1,3720896347,A,pusher;carrier;putter;pourer;thrower
4757700126-2,4757700126,2,3720897935,P,pushee;carried-thing;put-thing;poured-substance;thrown-thing
4757700126-3,4757700126,3,9907756370,L,pushing-goal;carrying-goal;putting-goal;pouring-goal;throwing-goal
4757710632-1,4757710632,1,3720896347,S,cougher;runner;jumper;singer;screamer;dieer;sad-person;hungry-person;dry-thing;fallee;crier;sick-person;appearer;blinker
4758013371-1,4758013371,1,3720896347,A,taker;tearer;wiper;cleaner;receiver
4758013371-2,4758013371,2,3720897935,P,taken-thing;torn-thing;wiping-surface;cleaned-thing;received-thing
4758013371-3,4758013371,3,3721129918,X,taking-source;tearing-source;wiped-material;receiving-source;cleaned-away-material
4758038607-1,4758038607,1,3720896347,A,tier
4758038607-2,4758038607,2,3720897935,P,tied-thing
4758038607-3,4758038607,3,3721088397,X,tying-goal
4758038607-4,4758038607,4,9907796986,I,tying-instrument
4781364732-1,4781364732,1,3737373736,A,carrier
4781364732-2,4781364732,2,3737374710,P,carried-thing
4781364732-3,4781364732,3,3834109352,X,carrying-goal
4781395547-1,4781395547,1,3737373736,A,coverer
4781395547-2,4781395547,2,3737374710,P,cover
4781395547-3,4781395547,3,3737398058,X,covered-thing
4781499904-1,4781499904,1,3737373736,A,eater;hugger;seeer;frightener;knower;shaver-of-body-part;follower;meeter;toucher;leaver;climber;cooker;out-driver;singer;burner-tr;cutter;boiler-tr
4781499904-2,4781499904,2,3737374710,P,eaten-food;huggee;seen-entity;frightenee;known-thing-or-person;followee;met-person;touchee;left-place-or-person;climbing-goal;cooked-food;shaved-body-part;driven-out-thing-or-person;song;burnt-thing-tr;cut-thing;boiled-thing-tr
4781522458-1,4781522458,1,3737373736,S,looker;shouter
4781522458-2,4781522458,2,3834109352,X,looked-at-entity;shoutee
4781546520-1,4781546520,1,3737373736,A,taker;peeler
4781546520-2,4781546520,2,3737374710,P,taken-thing;peel
4781546520-3,4781546520,3,3796462633,X,taking-source;peeled-object
4781763138-1,4781763138,1,3737373736,S,fearer
4781763138-2,4781763138,2,3737429844,X,fear-stimulus
4781771801-1,4781771801,1,3796490959,X,liker;deserver;burdened-person;well-going-beneficiary
4781771801-2,4781771801,2,3737373736,S,liked-entity;deserved-thing;burden;well-going-entity
4781833472-1,4781833472,1,3737373736,S,searcher
4781833472-2,4781833472,2,3892120804,X,searched-for-thing
4781863756-1,4781863756,1,3737373736,S,thinker
4781863756-2,4781863756,2,3865748586,X,thought-content
4781880751-1,4781880751,1,3737373736,S,washer;helper;follower;capsizing-causer;sink-causer-tr
4781880751-2,4781880751,2,3796490959,X,washed-entity;helpee;followee;capsizing-entity;sunken-entity-tr
4781888826-1,4781888826,1,3737373736,A,dresser
4781888826-2,4781888826,2,3737374710,P,dressee
4781888826-3,4781888826,3,3901128677,X,clothes
4782020736-1,4782020736,1,3737373736,A,asker
4782020736-2,4782020736,2,3737374710,P,askee
4782020736-3,4782020736,3,3865748586,X,requested-thing
4782320758-1,4782320758,1,4522850980,A,coverer;putter;loader;thrower;bringer;carrier;giver;pourer;sender;dresser;teacher;pusher;shower
4782320758-2,4782320758,2,4522863495,P,covered-thing;put-thing;loaded-thing;thrown-thing;brought-thing;carried-thing;giving-recipient;poured-substance;sent-thing;dressee;taught-content;pushee;showing-addressee
4782320758-3,4782320758,3,4522865593,L,cover;putting-goal;loading-place;throwing-goal;bringing-recipient;carrying-goal;gift;pouring-goal;sending-recipient;teachee;pushing-goal;shown-thing;clothes
4782330525-1,4782330525,1,4522850980,A,filler;tier;stealer;taker;tearer;builder;wiper;hider
4782330525-2,4782330525,2,4522863495,P,filled-container;tied-thing;stolen-thing;taken-thing;torn-thing;built-thing;wiped-material;hidden-thing
4782330525-3,4782330525,3,4522868025,X,filling-material;tying-goal;stealing-source;taking-source;tearing-source;building-material;wiping-surface;hiding-affectee
4782372131-1,4782372131,1,3737373736,A,namer
4782372131-2,4782372131,2,3737374710,P,namee
4782372131-3,4782372131,3,3737374710,P,name
4782382762-1,4782382762,1,3737373736,A,builder;tearer
4782382762-2,4782382762,2,3737374710,P,built-thing;torn-thing
4782382762-3,4782382762,3,3834126263,X,building-material;tearing-source
4782397674-1,4782397674,1,3737373736,A,killer;breaker;beater;hitter;cutter;grinder
4782397674-2,4782397674,2,3737374710,P,killee;broken-thing;beatee;hittee;cut-thing;ground-thing
4782397674-3,4782397674,3,3737389234,I,killing-instrument;breaking-instrument;beating-instrument;hitting-instrument;cutting-instrument;grinding-instrument
4782441781-1,4782441781,1,3737373736,A,hider
4782441781-2,4782441781,2,3737374710,P,hidden-thing
4782441781-3,4782441781,3,3892194840,X,hiding-affectee
4782463794-1,4782463794,1,3737373736,A,shower;giver;teller;teacher;bringer
4782463794-2,4782463794,2,3796490959,X,showing-addressee;giving-recipient;tellee;teachee;bringing-recipient
4782463794-3,4782463794,3,3737374710,P,shown-thing;gift;told-content;taught-content;brought-thing
4782484004-1,4782484004,1,3737373736,A,sender
4782484004-2,4782484004,2,3737374710,P,sent-thing
4782484004-3,4782484004,3,3901113250,X,sending-recipient
4782582333-1,4782582333,1,3737373736,A,tier
4782582333-2,4782582333,2,3737374710,P,tied-thing
4782582333-3,4782582333,3,3737389234,I,tying-instrument
4782582333-4,4782582333,4,3737429844,X,tying-goal
4782625588-1,4782625588,1,3737373736,S,pusher
4782625588-2,4782625588,2,3796490959,X,pushee
4782625588-3,4782625588,3,3901128677,X,pushing-goal
4782645899-1,4782645899,1,3737373736,A,filler;wiper
4782645899-2,4782645899,2,3737374710,P,filled-container;wiped-material
4782645899-3,4782645899,3,3796462633,X,filling-material;wiping-surface
4782652132-1,4782652132,1,3737373736,S,loader;coverer
4782652132-2,4782652132,2,3796490959,X,loaded-thing;cover
4782652132-3,4782652132,3,3834109352,X,loading-place;covered-thing
4782666572-1,4782666572,1,3737373736,S,runner;jumper;laugher;screamer;dieer;sad-person;hungry-person;rolling-entity;sunken-entity;burnt-thing;dry-thing;sick-person;blinker;player;specialist-or-hunter
4782700699-1,4782700699,1,3737373736,S,goer
4782700699-2,4782700699,2,3834109352,X,going-goal
4782723644-1,4782723644,1,3737373736,S,liver;hearer;settler
4782723644-2,4782723644,2,3834200385,X,living-place;heard-sound;settling-place
4782734068-1,4782734068,1,3737374710,X,hungry-person;sleepy-head
4782744071-1,4782744071,1,3796490959,X,pain-feeler
4782744071-2,4782744071,2,3834200385,X,pain-locus
4782758310-1,4782758310,1,3737374710,X,dreamer
4782758310-2,4782758310,2,3737374710,X,dreamt-of-thing
4782769693-1,4782769693,1,3796490959,X,freezing-person;sick-feeling-person;stumbling-person;gladdened-entity;excited-entity;untrue-entity
4782773306-1,4782773306,1,11237218450,A,hider;toucher;frightener;stealer;seeer;helper;hugger;liker;searcher;follower;eater;grinder;cooker;hearer;peeler;wiper;cutter;knower;meeter;washer;builder;smeller;looker;fearer;dresser;taker;hitter;thrower;digger;tearer;thinker;asker;beater;singer
4782773306-2,4782773306,2,4656228528,P,hidden-thing;touchee;frightenee;stolen-thing;seen-entity;helpee;huggee;liked-entity;searched-for-thing;followee;eaten-food;ground-thing;cooked-food;heard-sound;wiping-surface;cut-thing;known-thing-or-person;met-person;washed-entity;built-thing;smelled-entity;looked-at-entity;fear-stimulus;dressee;taken-thing;hittee;thrown-thing;torn-thing;thought-content;peeled-object;dug-hole-or-ground;requested-thing;beatee;song
4783041186-1,4783041186,1,3866239171,A,filler;pourer;thrower;dresser;shower;loader
4783041186-2,4783041186,2,3866239171,P,filling-material;poured-substance;thrown-thing;clothes;shown-thing;loaded-thing
4783041186-3,4783041186,3,10504686003,X,filled-container;pouring-goal;throwing-goal;dressee;showing-addressee;loading-place
4808501465-1,4808501465,1,3737373736,S,stealer
4808501465-2,4808501465,2,3796490959,X,stolen-thing
4808501465-3,4808501465,3,7254492782,X,stealing-source
4808512782-1,4808512782,1,3798134060,A,eater;washer;searcher;cooker;grinder;shaver-of-body-part;digger;pusher;meeter;frightener;filler;maker
4808512782-2,4808512782,2,3798303864,P,eaten-food;washed-entity;searched-for-thing;cooked-food;ground-thing;shaved-body-part;pushee;met-person;dug-hole-or-ground;frightenee;filled-container;made-thing
4808518806-1,4808518806,1,3798318557,X,seeer;knower;liker;hearer;wanter
4808518806-2,4808518806,2,3798303864,I,seen-entity;known-thing-or-person;liked-entity;heard-sound;wanted-thing
4808529404-1,4808529404,1,3796490959,X,receiver
4808529404-2,4808529404,2,3737373736,S,received-thing
4808529404-3,4808529404,3,7254492782,X,receiving-source
4808529704-1,4808529704,1,3798303864,I,fearer;looker;talker
4808529704-2,4808529704,2,3798439534,X,fear-stimulus;looked-at-entity;talked-to-person
4808536204-1,4808536204,1,3737373736,S,proposer;searcher
4808536204-2,4808536204,2,9527200416,X,proposed-to-person;searched-for-thing
4808541111-1,4808541111,1,3737374710,X,longer
4808541111-2,4808541111,2,9527200416,X,longed-for-person-or-thing
4808551488-1,4808551488,1,3737373736,S,sayer-quotation
4808551488-2,4808551488,2,9527200416,X,said-thing-quotation
4808551488-3,4808551488,3,3834200385,X,source-of-quotation
4808555050-1,4808555050,1,9527200416,X,presence-known-maker;needee
4808571662-1,4808571662,1,3798134060,A,killer;cutter;breaker
4808571662-2,4808571662,2,3798303864,P,killee;cut-thing;broken-thing
4808571662-3,4808571662,3,3798394299,I,killing-instrument;cutting-instrument;breaking-instrument
4808916071-1,4808916071,1,3737373736,S,smeller
4808916071-2,4808916071,2,3796462633,X,smelled-entity
4837810705-1,4837810705,1,3798303864,I,crier;dieer;freezing-person;sad-person;burnt-thing;hungry-person;rolling-entity;appearer;sitdowner;sunken-entity;boiled-thing;player;sitter;dry-thing;jumper;laugher;pain-locus;sickness-locus
4837828829-1,4837828829,1,3798134060,X,helper;hugger;teller
4837828829-2,4837828829,2,3798318557,X,helpee;huggee;tellee
4837837229-1,4837837229,1,3798134060,X,sayer
4837837229-2,4837837229,2,3798439534,X,saying-addressee
4837837229-3,4837837229,3,3857062946,X,said-content
4837856233-1,4837856233,1,3798134060,A,teacher;giver;hitter;bringer;shower;toucher;sender;carrier;thrower;beater
4837856233-2,4837856233,2,3798318557,X,teachee;giving-recipient;hittee;bringing-recipient;showing-addressee;touchee;sending-recipient;carry-beneficiary;throwing-goal;beatee
4837856233-3,4837856233,3,3798303864,P,taught-content;gift;hitting-instrument;brought-thing;shown-thing;touching-instrument;sent-thing;carried-thing;thrown-thing;beating-instrument
4839029278-1,4839029278,1,4567000107,A,knower;fearer;eater;seeer;washer;meeter;frightener;liker;dresser;helper;follower;hugger;smeller;climber;leaver;hearer;cooker;wanter;shaver-of-body-part;peeler
4839029278-2,4839029278,2,4567001063,P,known-thing-or-person;fear-stimulus;eaten-food;seen-entity;washed-entity;met-person;frightenee;liked-entity;dressee;helpee;followee;huggee;smelled-entity;climbing-goal;left-place-or-person;heard-sound;cooked-food;wanted-thing;shaved-body-part;peeled-object
4839039860-1,4839039860,1,4567000107,A,filler;killer;breaker;beater;hitter;toucher;cutter;coverer;grinder;loader
4839039860-2,4839039860,2,4567001063,P,filled-container;killee;broken-thing;beatee;hittee;touchee;cut-thing;covered-thing;ground-thing;loading-place
4839039860-3,4839039860,3,4567009252,I,filling-material;killing-instrument;breaking-instrument;beating-instrument;hitting-instrument;touching-instrument;cutting-instrument;cover;grinding-instrument;loaded-thing
4839094640-1,4839094640,1,4567000107,S,looker;goer;leaver;coming-person-or-thing
4839094640-2,4839094640,2,4567030827,X,looked-at-entity;leaving-goal;going-goal;come-goal
4839142023-1,4839142023,1,4567000107,S,searcher
4839142023-2,4839142023,2,4567039175,X,searched-for-thing
4839227796-1,4839227796,1,4567000107,S,sayer
4839227796-2,4839227796,2,4567063362,X,saying-addressee
4839227796-3,4839227796,3,15573211640,X,said-content
4839256494-1,4839256494,1,4567000107,A,teller;giver;shower
4839256494-2,4839256494,2,4567063362,X,tellee;giving-recipient;showing-addressee
4839256494-3,4839256494,3,4567001063,P,told-content;gift;shown-thing
4839263719-1,4839263719,1,4567000107,S,dieer;blinker;cougher;runner;jumper;singer;laugher;screamer;boiled-thing;player;rolling-entity;sunken-entity;burnt-thing;crier;fallee;appearer;digger;rain-source;freezing-person
4839270239-1,4839270239,1,4567000107,A,asker
4839270239-2,4839270239,2,4567001063,P,askee
4839270239-3,4839270239,3,4567001063,P,requested-thing
4839282971-1,4839282971,1,4567000107,S,shouter;screamer
4839282971-2,4839282971,2,4567937063,X,shoutee;screamed-at-person
4842107264-1,4842107264,1,3798134060,X,runner;cougher
4842115440-1,4842115440,1,3798303864,I,follower
4842115440-2,4842115440,2,3876606349,X,followee
4842374522-1,4842374522,1,3798134060,A,hider;tearer
4842374522-2,4842374522,2,9075623131,X,tearing-source;hiding-affectee
4842374522-3,4842374522,3,3798303864,P,hidden-thing;torn-thing
4842403135-1,4842403135,1,3798134060,A,dresser;coverer
4842403135-2,4842403135,2,3798302261,X,clothes;cover
4842403135-3,4842403135,3,3798303864,P,dressee;covered-thing
4842836491-1,4842836491,1,4522850980,A,namer;asker
4842836491-2,4842836491,2,4522863495,P,namee;askee
4842836491-3,4842836491,3,4522863495,P,name;requested-thing
4842861538-1,4842861538,1,4522850980,A,knower;seeer;meeter;looker;frightener;fearer;liker;follower;helper;eater;washer;climber;pain-locus;hugger;smeller;thinker;searcher;shouter;peeler;hearer;shaver-of-body-part;cooker;hunter;marrying-person
4842861538-2,4842861538,2,4522863495,P,known-thing-or-person;seen-entity;met-person;looked-at-entity;frightenee;fear-stimulus;liked-entity;followee;helpee;eaten-food;washed-entity;climbing-goal;pain-feeler;huggee;smelled-entity;thought-content;searched-for-thing;shoutee;peel;heard-sound;shaved-body-part;cooked-food;hunted-thing;married-person
4842907006-1,4842907006,1,4522850980,A,teller
4842907006-2,4842907006,2,4522863495,P,tellee
4842907006-3,4842907006,3,4522850980,X,told-content
4842955651-1,4842955651,1,4522850980,S,sitdowner;goer;rolling-entity
4842955651-2,4842955651,2,4522865593,L,sitting-down-place;going-goal;rolling-location
4842960265-1,4842960265,1,4522850980,S,sitter;liver;appearer;laugher;player
4842960265-2,4842960265,2,12101313760,I,sitting-place;living-place;appear-location;laughed-about-thing;toy
4843025585-1,4843025585,1,4522850980,S,leaver
4843025585-2,4843025585,2,4522868025,X,left-place-or-person
4844097985-1,4844097985,1,11237218450,A,hitter;coverer;filler;breaker;killer
4844097985-2,4844097985,2,4656228528,P,hittee;covered-thing;filled-container;broken-thing;killee
4844097985-3,4844097985,3,4670431198,I,hitting-instrument;cover;filling-material;breaking-instrument;killing-instrument
4844640706-1,4844640706,1,11237218450,S,climber
4844640706-2,4844640706,2,4656646213,L,climbing-goal
4844692082-1,4844692082,1,11237218450,S,hungry-person;laugher;freezing-person;jumper;burnt-thing;player;dry-thing;sunken-entity;boiled-thing;cougher;runner;dieer;sad-person;specialist-or-hunter;screamer;rolling-entity;blinker;talker;shaver-of-self
4844816615-1,4844816615,1,11237218450,S,pain-feeler;liver;sitter;sitdowner
4844816615-2,4844816615,2,4656646213,L,pain-locus;living-place;sitting-place;sitting-down-place
4867893054-1,4867893054,1,6996428779,A,taker;tearer;wiper;stealer;hider;builder
4867893054-2,4867893054,2,4867889953,P,taken-thing;torn-thing;wiped-material;stolen-thing;hidden-thing;built-thing
4867893054-3,4867893054,3,4867873939,X,taking-source;tearing-source;wiping-surface;stealing-source;hiding-affectee;building-material
4867943104-1,4867943104,1,6996428779,S,freezing-person;hungry-person;cougher;rain;laugher;screamer;player;rolling-entity;dry-thing;burnt-thing;dieer;sad-person;fallee;sunken-entity;appearer;specialist-or-hunter;goer;pain-locus
4867975791-1,4867975791,1,6996428779,S,looker;shouter
4867975791-2,4867975791,2,4867978286,X,looked-at-entity;shoutee
4867985804-1,4867985804,1,6996428779,A,giver;bringer;shower
4867985804-2,4867985804,2,4867889953,P,gift;brought-thing;shown-thing
