ID,Language_ID,Name,Description,Alternation_Type,Coding_Frames_Text,Complexity
2761071517,stan1295,Prepositional Alternation,"<SPAN STYLE= """" >The formerly dative marked recipient-like argument becomes a prepositional object instead and possibly turns into an adjunct.<BR><BR>The benefactive alternation (which introduces an additional dative object) is in many cases the starting point for this alternation. Where this is the case we pretend as if the Prepositional alternation (I) occurs never, but we sometimes still provide an example for this alternation.</SPAN>",Coded,,
2761141115,stan1295,Passive with werden,"<SPAN STYLE= """" >The patient of the transitive sentence becomes the single argument of the intransitive sentence. The agent can be added as an adjunct.</SPAN>",Coded,,
2761220243,stan1295,Cognate Object Insertion,"<SPAN STYLE= """" >Valency increasing<BR>The verb gets normally one single argument but a second argument (a direct obejct) can be added. The number of items that can fulfill the direct object position is very limited for every verb, which is able to undergo this alternation.</SPAN>",Uncoded,,
2761608627,stan1295,be- Alternation (II),"<SPAN STYLE= """" >valency transposing operation<BR>The former prepositional object becomes a direct object. (And the direct object of the original sentence becomes a prepositional object or gets omitted.)</SPAN>",Coded,,
2846634973,stan1295,ver- Alternation,"<SPAN STYLE= """" >valency decreasing alternation. A prepositional object is deleted.</SPAN>",Coded,,
2892391944,stan1295,er- Alternation,"<SPAN STYLE= """" >prepositional object of basic verb becomes obligatory accusative object in alternation<BR>e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >um etwas k&auml;mpfen - etwas erk&auml;mpfen </SPAN><SPAN STYLE= """" >('fight for sth.')</SPAN>",Coded,,
3038159205,stan1295,be- Alternation (I),"<SPAN STYLE= """" >X -&gt; P'<BR>argument added (a former adjunct or non-obligatory prepositional object becomes a P)<BR>P -&gt; X'<BR>The former accusative-marked patient becomes a non-obligatory prepositional object or gets omitted.</SPAN>",Coded,,
3038169672,stan1295,Benefactive Alternation,"<SPAN STYLE= """" >valency increasing operation, additional argument gets marked with Dative</SPAN>",Uncoded,,
3254999381,stan1295,Anticausative Alternation,"<SPAN STYLE= """" >The original agent is completely eliminated. <BR>An object (direct or indirect) is now the subject and the verb gets reflexive. (In the 'true' reflexive alternation, the change from object to subject does not take place.)<BR>Ex.</SPAN><SPAN STYLE= ""font-style:italic;"" > Ich oeffne den Vorhang --&gt; Der Vorhang oeffnet sich. <BR></SPAN><SPAN STYLE= """" >(Middle alternation in English) <BR>There may be more examples on another level (</SPAN><SPAN STYLE= ""font-style:italic;"" >Die Kartoffeln schaelen sich gut.</SPAN><SPAN STYLE= """" >) but normally one uses</SPAN><SPAN STYLE= ""font-style:italic;"" > lassen (Die Kartoffeln lassen sich gut schaelen.)</SPAN>",Coded,,
3729250165,stan1295,Instrument Subject Alternation,"<SPAN STYLE= """" >An instrumental adjunct (</SPAN><SPAN STYLE= ""font-style:italic;"" >mit</SPAN><SPAN STYLE= """" >+NP) is promotet to subject position. The former adjunct is removed from the frame.</SPAN>",Uncoded,,
8828175881,stan1295,Impersonal Passive,,Coded,,
9318530491,stan1295,Passive with sein,,Coded,,
540118552,russ1263,Instrumental subject alternation,"<SPAN STYLE= """" >An instrument used in a certain transitive action (such as in 'John hit the fence with a stick') and expressed as an adjunct to the related verb becomes the subject of the clause: 'The stick hit the fence'. Thus the former agent of the action is removed and becomes implicit. Some verbs require modification by a prefix in order to participate in this alternation. A different construction involves the instrumental use within an impersonal construction with a suppressed Agent (</SPAN><SPAN STYLE= ""font-style:italic;"" >vodoj zalilo polja</SPAN><SPAN STYLE= """" > [water-INSTR poured fields-ACC] &lsquo;the water poured into the filelds/the filelds filled with water'). Yet, the latter construction is  productive with transitive verbs if speaking about uncontrolled force (which might but need not be expressed by an instrumental phrase).</SPAN>",Uncoded,1-nom V.subj[1] 2-acc (3-ins) ~ 3-nom V.subj[3] 2-acc,
540414281,russ1263,Prefixal Goal-Instrumental alternation,"<SPAN STYLE= """" >The alternation is coded by prefixation on the verb. The location/goal argument is promoted to the direct object position, while the (inanimate) theme argument is demoted and coded as an instrument.</SPAN>",Coded,1-nom V.subj[1] 2-acc na+3-acc ~ 1-nom za+V.subj[1] 3-acc 2-ins,
541252423,russ1263,Prefixal Source-promoting alternation,"<SPAN STYLE= """" >The source/counteragent argument, introduced by preposition </SPAN><SPAN STYLE= ""font-style:italic;"" >u</SPAN><SPAN STYLE= """" > (counteragent), or preposition </SPAN><SPAN STYLE= ""font-style:italic;"" >s</SPAN><SPAN STYLE= """" > (inanimate source), is promoted to direct object (the source remains unexpressed).</SPAN>",Coded,1-nom V.subj[1] 2-acc (u+3-gen) ~ 1-nom ob+V.subj[1] 3-acc,
541416714,russ1263,Semantic reflexive,"<SPAN STYLE= """" >When  A and  O are coreferential, the verb takes a reflexive marker (postfix), while P is not expressed.</SPAN>",Coded,1-nom V.subj[1] 2-acc ~ 1-nom V.subj[1]+sja,
548454225,russ1263,Reflexive Anticausative,"<SPAN STYLE= """" >Anticausative use of reflexive </SPAN><SPAN STYLE= ""font-style:italic;"" >-sja</SPAN><SPAN STYLE= """" >. The derived subject is mostly inanimate. Predominantly used in the perfective.</SPAN>",Coded,1-nom V.subj[1] 2-acc ~ 2 V.subj[2]-sja,
548565480,russ1263,Participial Passive,"<SPAN STYLE= """" >Participial (adjectival) passive is formed by the passive participle in conjunction with a copula. The A argument is expressed by the intrumental case and is optional. It is used only in the perfective aspect; in the imperfective the Reflexive Passive is used instead.</SPAN>",Coded,1-nom V.subj[1] 2-acc (3-ins) ~ 2-nom COP PASS+V.subj[2] (1-ins),
548821508,russ1263,Comitative alternation,"<SPAN STYLE= """" >The addressee can be either expressed by the dative case, or alternatively by a comitative phrase (with preposition </SPAN><SPAN STYLE= ""font-style:italic;"" >s</SPAN><SPAN STYLE= """" > governing the Instrumental case).</SPAN>",Uncoded,1-nom V.subj[1] 2-dat UTT3 ~ 1-nom V.subj[1] s 2-ins,
549132726,russ1263,Accusative-Genitive alternation,"<SPAN STYLE= """" >The Genitive can be used instead of the Accusative for the object argument of some transitive verbs (usually with less individuated/specific objects). This alternation, being lexically restricted, should be distinguished from the use of genitive instead of the accusative under negation (cf. Negative Genitive/Accusative Alternation), as well as from the Accusative-Partitive alternations (</SPAN><SPAN STYLE= ""font-style:italic;"" >narezal xleb/xleb-a</SPAN><SPAN STYLE= """" > [cut bread-ACC/bread-GEN~PART] &lsquo;cut the bread/some of the bread&rsquo;), which are fairly productive.</SPAN>",Uncoded,1 V.subj[1] 2-acc ~ 1 V.subj[1] 2-gen,
565419403,russ1263,Reflexive Reciprocal,"<SPAN STYLE= """" >The reflexive form </SPAN><SPAN STYLE= ""font-style:italic;"" >-sja</SPAN><SPAN STYLE= """" > on the verb leads to reciprocal meaning when the subject is plural. The subject can alternatively be expressed in a comitative or coordinate construction.</SPAN>",Coded,1-nom V.subj[1] 2-acc ~ 1 V.subj[1]-sja,
565482610,russ1263,Object deletion,"<SPAN STYLE= """" >In the derived frame, the direct object is not expressed overtly.<BR>Object deletion (omission) is possible with indefinite/generic objects of some verbs (in habitual contexts).</SPAN>",Uncoded,1 V.subj[1] 2-acc ~ 1 V.subj[1],
565727431,russ1263,Cognate object alternation,"<SPAN STYLE= """" >Introduces a new argument which is a cognate object to the verb meaning, usually for the purpose of object modification. The cognate object can be in the accusative or the instrumental case. Verbs marked as &quot;Regular&quot; permit both, while those marked &quot;Marginal&quot; only allow for the instrumental.</SPAN>",Uncoded,1-nom V.subj[1] ~ 1-nom V.subj[1] 2-acc | 2-ins,
566291510,russ1263,Reflexive Middle,"<SPAN STYLE= """" >Russian uses the reflexive marker (postfix) </SPAN><SPAN STYLE= ""font-style:italic;"" >-sja</SPAN><SPAN STYLE= """" >  to express Middle transformation. Similar to the English example, the Middle requires a modification by means of an (evaluative) adverb. Unlike with the analogous Middle Alternation for intransitive verbs, the original subject cannot be expressed in the derived form (cf. Reflexive Middle (impersonal)). Unlike a syntactically similar anticausative alternation, the middle alternation is used (only) with imperfective verbs and applies to a broader set of verbs than the anticausative one.</SPAN>",Coded,1-nom V.subj[1] 2-acc (3-ins) ~ 2-nom V.subj[2]+sja (ADV),
7116993311,russ1263,Reflexive Passive,"<SPAN STYLE= """" >Reflexive Passive is used instead of the Participial Passive in the imperfective aspect. As in the Participial Passive, the A (if at all expressed) is demoted and appears in the Instrumental case.</SPAN>",Coded,1-nom V.subj[1] 2-acc ~ 2-nom V.subj[2]-sja (1-ins),
7289645873,russ1263,Negative Accusative-Genitive alternation,"<SPAN STYLE= """" >The alternation occurs only in the context of negation. The direct object of most verbs can be marked with the Accusative as well as the Genitive case in negated clauses. This alternation usually occurs with verbs in the imperfective aspect and taking a non-referential object.</SPAN>",Uncoded,1-nom NEG V.subj[1] 2-acc ~ 1-nom NEG V.subj[1] 2-gen,
7729642707,russ1263,Reflexive Middle (impersonal),"<SPAN STYLE= """" >The reflexive marker </SPAN><SPAN STYLE= ""font-style:italic;"" >-sja</SPAN><SPAN STYLE= """" > is used to code the Middle transformation. In the derived impersonal construction, the subject of the basic version optionally occurs as a dative argument. It often occurs in the context of negation or with a modification by means of an (evaluative) adverb. The middle alternation is used (only) in imperfective.</SPAN>",Coded,1-nom V.subj[1] ~ (1-dat) V.subj+sja,Unknown
1079002970,hoch1243,Benefactive/possession of U (+gi),"<SPAN STYLE= """" >By adding the applicative morpheme </SPAN><SPAN STYLE= ""font-style:italic;"" >(-)gi-</SPAN><SPAN STYLE= """" > to the verb an additional undergoer slot is opened up. The undergoer slot thus created is most commonly filled with a beneficiary-like argument. In rare cases this slot can also be filled with a maleficiary argument. This operation is almost always valency increasing, however, the same operation can also be used to simply express a possessed U, in this latter case the addition of </SPAN><SPAN STYLE= ""font-style:italic;"" >gi- </SPAN><SPAN STYLE= """" >may not increase the valency of the base verb.</SPAN>",Coded,,Simplex
1079003919,hoch1243,Instrumental applicative (+hi),"<SPAN STYLE= """" >The addition of the instrumental applicative </SPAN><SPAN STYLE= ""font-style:italic;"" >hi</SPAN><SPAN STYLE= """" >- to a Hooc&#261;k verb allows the addition of an instrument-like argument to the main clause of the sentence. It is therefore a valency-increasing operation.<BR>This derivation seems to be no longer productive and is often considered to be old-fashioned by native speakers. The modern way of introducing instruments is by means of a coordinated clause meaning 'X used Y and....'</SPAN>",Coded,,Simplex
1079004561,hoch1243,Locative applicative I (inessive) (+ho),"<SPAN STYLE= """" >The locative applicative </SPAN><SPAN STYLE= ""font-style:italic;"" >ho</SPAN><SPAN STYLE= """" >- is often used as a valency-increasing operation. When added to the verb it opens up an undergoer slot for a location-like argument. (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >wax&#371;</SPAN><SPAN STYLE= """" > 'pour sth.' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >howax&#371;</SPAN><SPAN STYLE= """" > 'pour sth. in(to) somewhere')<BR>In cases where verbs already possess a slot for a locational argument the meaning of this location is merely changed and the valency of the verb not increased (e.g.</SPAN><SPAN STYLE= ""font-style:italic;"" > cii</SPAN><SPAN STYLE= """" > 'live somewhere' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >hoci</SPAN><SPAN STYLE= """" > 'live in somewhere').</SPAN>",Coded,,Simplex
1079005179,hoch1243,Locative applicative II (superessive) (+ha),"<SPAN STYLE= """" >The locative applicative </SPAN><SPAN STYLE= ""font-style:italic;"" >ha</SPAN><SPAN STYLE= """" >- is often used as a valency-increasing operation. When added to the verb it opens up an undergoer slot for a location/goal-like argument. (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >wax&#371;</SPAN><SPAN STYLE= """" > 'pour sth.' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >hawax&#371;</SPAN><SPAN STYLE= """" > 'pour sth. on(to) somewhere')<BR>In cases where verbs already possess a slot for a locational argument the meaning of this location is merely changed and the valency of the verb not increased (e.g.</SPAN><SPAN STYLE= ""font-style:italic;"" > kere</SPAN><SPAN STYLE= """" > 'put sth. somewhere' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >hokere</SPAN><SPAN STYLE= """" > 'put sth. on somewhere')</SPAN>",Coded,,Simplex
1079005766,hoch1243,Reflexive (+kii),"<SPAN STYLE= """" >The reflexive is a valency-decreasing operation. When the morpheme </SPAN><SPAN STYLE= ""font-style:italic;"" >kii</SPAN><SPAN STYLE= """" > is added to a transitive verb the undergoer slot can no longer be filled with an undergoer inflectional affix and is thus blocked. (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >ru&#382;a</SPAN><SPAN STYLE= """" > 'wash sth./sb.'--&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >kiiru&#382;a</SPAN><SPAN STYLE= """" > 'wash oneself'.<BR>In very rare cases this operation can also be used to express an autobeneficiary meaning, in these cases the valency of the verb remains unchanged (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >ruxoro</SPAN><SPAN STYLE= """" > 'peel sth.' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >kiiruxoro</SPAN><SPAN STYLE= """" > 'peel sth. for oneself').</SPAN>",Coded,,Simplex
1079006896,hoch1243,Reciprocal (+kiki),"<SPAN STYLE= """" >The reciprocal is a valency-decreasing operation. When the morpheme </SPAN><SPAN STYLE= ""font-style:italic;"" >ki(ki)</SPAN><SPAN STYLE= """" > is added to a transitive verb, the undergoer slot can no longer be filled with an undergoer inflectional affix and is thus blocked. Verbs derived with the reciprocal occur in plural forms only. This morpheme is the reduplication of the reflexive </SPAN><SPAN STYLE= ""font-style:italic;"" >kii </SPAN><SPAN STYLE= """" >and can also occur in its unreduplicated form expressing the same meaning. Therefore, reciprocal and reflexive and be ambiguous sometimes. <BR>In very rare cases this operation can also be used to express an reciprocal-beneficiary meaning, in these cases the valency of the verb remains unchanged (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >ruxoro</SPAN><SPAN STYLE= """" > 'peel sth.' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >kikiruxoro</SPAN><SPAN STYLE= """" > 'peel sth. for each other / peel each other's sth.'').</SPAN>",Coded,,Simplex
1095045619,hoch1243,Possessive reflexive (+kara),"<SPAN STYLE= """" >This is not a valency-changing operation and is added here merely for the purpose of completeness, so that all verbal derivations are covered. The morpheme </SPAN><SPAN STYLE= ""font-style:italic;"" >kara-</SPAN><SPAN STYLE= """" > (or </SPAN><SPAN STYLE= ""font-style:italic;"" >kV-</SPAN><SPAN STYLE= """" >) is added to the verb to express A's possession of U (e.g. A carries the box --&gt; A carries A's own box.)</SPAN>",Coded,,Simplex
1095046958,hoch1243,Reflexive &amp; possessive reflexive (+ kii + kara),"<SPAN STYLE= """" >A combined derivation with the reflexive and the possessive reflexive. This seems to be a new-ish development in the language (earlier it was thought that </SPAN><SPAN STYLE= ""font-style:italic;"" >kii-  </SPAN><SPAN STYLE= """" >and</SPAN><SPAN STYLE= ""font-style:italic;"" > kara- </SPAN><SPAN STYLE= """" >occupied the same slot in the verbal template, which is not the case (any more?)).<BR>This is a valency decreasing derivation, that basically means the same as the reflexive, but it can also have a holistic meaning in some cases (e.g. A washes U --&gt; A washes him/herself (meaning the whole body)).<BR>The combination of </SPAN><SPAN STYLE= ""font-style:italic;"" >kii+kara</SPAN><SPAN STYLE= """" > is mostly used by speakers from the Black River Falls area. Speakers from other areas prefer not to use it but understand what is being said.</SPAN>",Coded,,Complex
1095048635,hoch1243,Instrumental &amp; benefactive (+ hi + gi),"<SPAN STYLE= """" >A doubly valency increasing operation, that adds two undergoer slots on the verb (one for a benefactive, the other one for an instrument), e.g. A breaks U --&gt; A breaks U for BEN with I.<BR>Since the instrumental is considered to be old fashioned, this alternation does not occur very often.</SPAN>",Coded,,Complex
1095418452,hoch1243,Superessive &amp; reflexive/reciprocal (+ ha + kii),"<SPAN STYLE= """" >A double derivation that re-arranges the verb's valency. While the undergoer slot is deleted by the reflexive, a new one is added through the locative applicative.</SPAN>",Coded,,Complex
1095420743,hoch1243,Inessive &amp; reflexive (+ ho + kii),"<SPAN STYLE= """" >A double derivation that re-arranges the verb's valency. While the undergoer slot is deleted by the reflexive, a new one is added through the locative applicative.</SPAN>",Coded,,Complex
1139186218,hoch1243,Coercive/default causative (hii),"<SPAN STYLE= """" >This is one of Hooc&#261;k&rsquo;s four (periphrastic) causatives.<BR>The causative verb </SPAN><SPAN STYLE= ""font-style:italic;"" >hii</SPAN><SPAN STYLE= """" > is by far the most common one, its meaning is that of a coercive causative (A makes U do X), but it  is also considered to be the default causative.<BR>It&rsquo;s a valency increasing operation that can be used with both stative and active (intransitive and transitive) verbs.</SPAN>",Coded,,Simplex
1139187239,hoch1243,Reflexive causative (k&#303;&#303;),"<SPAN STYLE= """" >The causative verb </SPAN><SPAN STYLE= ""font-style:italic;"" >k&#303;&#303; </SPAN><SPAN STYLE= """" >expresses a reflexive meaning (A causes self to do X). In constructions with the reflexive causative, causer and causee are identical. They are both expressed through the Actor indexing on the causative verb. It is therefore not a valency increasing operation, it merely re-arranges the valency.<BR>This causative can also have  reciprocal reading with plural As (A&amp; U cause each other to do X).</SPAN>",Coded,,Simplex
1139188240,hoch1243,Permissive causative (gigi),"<SPAN STYLE= """" >This is one of Hooc&#261;k&rsquo;s four (periphrastic) causatives.<BR>The causative verb </SPAN><SPAN STYLE= ""font-style:italic;"" >gigi</SPAN><SPAN STYLE= """" > expresses a permissive meaning (A lets U do X) and is considered to be more polite than </SPAN><SPAN STYLE= ""font-style:italic;"" >hii</SPAN><SPAN STYLE= """" >. <BR>It&rsquo;s a valency increasing operation that can be used with both stative and active (intransitive and transitive) verbs.</SPAN>",Coded,,Simplex
1146719646,hoch1243,Resultative alternation,"<SPAN STYLE= """" >For this alternation the instrumental prefix is omitted and the suffix </SPAN><SPAN STYLE= ""font-style:italic;"" >-re</SPAN><SPAN STYLE= """" > is added to the verbal root (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >ru-gaas</SPAN><SPAN STYLE= """" > 'A tears U' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >gaas-re</SPAN><SPAN STYLE= """" >  'S is torn').<BR>This is a valency-decreasing operation, whereby the agent of the transitive verb can no longer be expressed and the patient of the same becomes the subject of the newly derived intransitive verb.<BR>Only verbs which have been derived with one of the 8 instrumental prefixes can undergo this alternation. Not all of them do so.</SPAN>",Coded,,Simplex
1146733702,hoch1243,Resultative &amp; causative,"<SPAN STYLE= """" >This is overall a valency re-arranging alternation. The resultative (see resultative alternation) is combined with one of the 4 causatives (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >ru-gaas</SPAN><SPAN STYLE= """" > 'A tears U' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >gaas-re</SPAN><SPAN STYLE= """" > 'S is torn' --&gt; </SPAN><SPAN STYLE= ""font-style:italic;"" >gaasre hii</SPAN><SPAN STYLE= """" > ' A causes U to be torn').<BR>The meaning of the verbs formed through this alternation differs from that of transitive verb in that it expresses less volition or even an involuntary meaning ( A tears U vs. A (accidentally) causes U to be torn.)<BR>Only verbs which have been derived with one of the 8 instrumental prefixes can undergo this alternation. Not all of them do so.</SPAN>",Coded,,Complex
1147019688,hoch1243,Superessive &amp; benefactive (+ ha + gi),"<SPAN STYLE= """" >A doubly valency increasing operation, that adds two undergoer slots to the verb (one for a benefactive, the other one for a location), e.g. A breaks U --&gt; A breaks U for BEN on/over L.<BR>Since the superessive applicative does not always add an undergoer slot (see description there), this alternation may also just increase the verb's valency by one.</SPAN>",Coded,,Complex
1147020749,hoch1243,Inessive &amp; benefactive (+ ho + gi),"<SPAN STYLE= """" >A doubly valency increasing operation, that adds two undergoer slots to the verb (one for a benefactive, the other one for a location), e.g. A breaks U --&gt; A breaks U for BEN in/into L.<BR>Since the inessive applicative does not always add an undergoer slot (see description there), this alternation may also just increase the verb's valency by one.</SPAN>",Coded,,Complex
1147027655,hoch1243,Superessive &amp; possessive reflexive (+ ha + kara),"<SPAN STYLE= """" >This is a valency increasing alternation that adds an undergoer slot on the verb for a location. At the same time it expresses A's ownership of (one of the verb's) Us (e.g. A sits --&gt; A sits on one's own U).</SPAN>",Coded,,Complex
1147028289,hoch1243,Inessive &amp; possessive reflexive (+ ho + kara),"<SPAN STYLE= """" >This is a valency increasing alternation that adds an undergoer slot on the verb for a location. At the same time it expresses A's ownership of (one of the verb's) Us (e.g. A sits --&gt; A sits in one's own U).</SPAN>",Coded,,Complex
1147035831,hoch1243,Instrumental &amp; possessive reflexive (+ hi + kara),"<SPAN STYLE= """" >This is a valency increasing alternation that adds an undergoer slot on the verb for an instrument. At the same time it expresses A's ownership of (one of the verb's) Us (e.g. A cuts U --&gt; A cuts on one's own U with I). <BR>Since the instrumental is considered to be old fashioned, this alternation does not occur very often.</SPAN>",Coded,,Complex
1156947245,hoch1243,Instrumental &amp; reflexive (+ hi + kii),"<SPAN STYLE= """" >A double derivation that re-arranges the verb's valency. While the undergoer slot is deleted by the reflexive, a new one is added through the instrumental applicative. <BR>Since the instrumental is considered to be old fashioned, this alternation does not occur very often.</SPAN>",Coded,,Complex
1542781508,hoch1243,Detransitive / slot filler (wa-),"<SPAN STYLE= """" >The 3PL.U prefix </SPAN><SPAN STYLE= ""font-style:italic;"" >wa</SPAN><SPAN STYLE= """" >- is used as an argument slot filler (detransitivizer) and thus the valency of the verb is decreased. In Hooc&#261;k it is used regularly with the verb </SPAN><SPAN STYLE= ""font-style:italic;"" >ruuc</SPAN><SPAN STYLE= """" > 'eat' only (though it is a common operation in many of the other Sioaun languages). The undergoer can no longer be expressed via an overt NP, but a general meaning like &quot;something&quot; is assumed (e.g. </SPAN><SPAN STYLE= ""font-style:italic;"" >wa-ruuc</SPAN><SPAN STYLE= """" > 'A ate (something)).</SPAN>",Coded,,Simplex
