ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,contributors,continent,Comment
stan1295,German (Standard),stan1295,German,deu,Eurasia,51.344339,12.348633,Indo-European,Martin Haspelmath and Luisa Baumann,Europe (and Indo-European),"<SPAN STYLE= """" >Concerning the frequency of a verb's alternation, we decided intuitively whether an alternation occurs 'marginally' or 'regularly'. Some alternations marked as occuring 'marginally' surely have to be rediscussed. <BR>Concerning the Coding Frames we did not pay attention to adjuncts. <BR>Often there can be created alternations of alternations. We did not mark them but in most cases we made a comment. <BR>We did not establish a causative alternation. </SPAN>"
hokk1249,Hokkaido Japanese,hokk1249,Hokkaidō,,Papunesia,43.691708,142.866211,Japonic,Kan Sasaki,Asia,"<SPAN STYLE= """" >Brief description of the Hokkaido dialect of Japanese<BR><BR>In this database, the Hokkaido dialect is used to refer to the variety of Japanese spoken in the northern island Hokkaido and the islands around Hokkaido. According to Ono &amp; Okuda (1999), Japanese speakers begin to settle on the coastal area of southern Hokkaido from the late 16th century. Most of the population in those days came from the northern Tohoku region. From the mid 19th century to mid 20th century, intensive immigration to Hokkaido took place from all the part of Japan. However, in this case, too, the majority (around 40%) came from Tohoku (Ono &amp; Okuda 1999). Consequently, the Hokkaido Dialect has inherited a considerable number of features from the northern Tohoku dialects.<BR>&#9;The Hokkaido dialect has no written tradition, but some sentences reflecting this dialect appear in the modern Japanese literature. The most famous example is the conversational part of </SPAN><SPAN STYLE= ""font-style:italic;"" >Kanikosen</SPAN><SPAN STYLE= """" > 'The Crab Canning Ship' written by Takiji Kobayashi in 1929. <BR>&#9;The population of Hokkaido is 5,502,944 (June 30th, 2011). However, the exact number of speakers of the Hokkaido dialect is unknown.<BR>&#9;The Hokkaido dialect is classified as one of the eastern varieties of Japanese dialects and it is subdivided into the coastal variety and the inland variety. The coastal variety preserves lots of characteristics of the Tohoku dialects, such as the imperative use of the conditional inflection, neutralization of /i/ and /e/, intervocalic voicing of /k/ and /t/, spotaneous voice morphology with /rasar/, and so on. Certain inland dialects are reported to preserve some degree of dialectal features of their region of origin (Suga 2011). For example, the dialect spoken in Hombetsu (Nakagawa district, Tokachi) has the copula </SPAN><SPAN STYLE= ""font-style:italic;"" >ja/zja</SPAN><SPAN STYLE= """" >, found in the Tokushima dialect spoken in the Shikoku island. According to Ishigaki (1976), the inland variety underwent influence from the coastal variety, even though the origin of the population is not the same as that of the coastal variety. The most important grammatical feature of the Hokkaido dialect for this database is the existence of anticausativization with /rasar/ suffixation. This grammatical phenomenon is found in both varieties.<BR>&#9;The most notable feature of this dialect is the voice system. Standard Japanese has three productive voice suffixes, i.e., passive, potential and causative. On the other hand, the Hokkaido dialect has four productive voice suffixes: passive /rare/ (traditionally, /rae/), potential /e/ or /rare/ (traditionally, /-ni i:/), causative /sase/ (traditionally, /rase/ or /rahe/) and spontaneous /rasar/. The spontaneous suffix /rasar/ is used as a marker for anticausativization. For the details of anticausativization in the Hokkaido dialect, see Sasaki &amp; Yamazaki (2006).<BR>&#9;Due to the existence of productive antucausative morphology, the Hokkaido dialect displays different characteristics of the transitivity alternation from that of Standard Japanese. Concerning transitivization, both Standard Japanese and the Hokkaido dialect have lexical and morphological causativization. For example, </SPAN><SPAN STYLE= ""font-style:italic;"" >ak-u</SPAN><SPAN STYLE= """" >  'open.INTR-NPST' -- </SPAN><SPAN STYLE= ""font-style:italic;"" >ake-ru</SPAN><SPAN STYLE= """" > 'open.TR-NPST' and </SPAN><SPAN STYLE= ""font-style:italic;"" >hasir-u</SPAN><SPAN STYLE= """" > 'run-NPST' -- </SPAN><SPAN STYLE= ""font-style:italic;"" >hasir-ase-ru</SPAN><SPAN STYLE= """" > 'run-CAUS-NPST'. On the other hand, concerning intransitivization, they show difference. Standard Japanese has only lexical anticausativization, such as </SPAN><SPAN STYLE= ""font-style:italic;"" >or-u</SPAN><SPAN STYLE= """" > 'break.TR-NPST' -- </SPAN><SPAN STYLE= ""font-style:italic;"" >ore-ru</SPAN><SPAN STYLE= """" > 'break.INTR-NPST'. The Hokkaido dialect has both lexical and morphological anticausativization, e.g., </SPAN><SPAN STYLE= ""font-style:italic;"" >or-u</SPAN><SPAN STYLE= """" > 'break.TR-NPST' -- </SPAN><SPAN STYLE= ""font-style:italic;"" >ore-ru</SPAN><SPAN STYLE= """" > 'break.INTR-NPST' and </SPAN><SPAN STYLE= ""font-style:italic;"" >nur-u</SPAN><SPAN STYLE= """" > 'paint-NPST' -- </SPAN><SPAN STYLE= ""font-style:italic;"" >nur-asar-u</SPAN><SPAN STYLE= """" > 'paint-SP-NPST (become painted)'.<BR>&#9;The data in this database is obtained from a relatively younger speaker in his 30s, whose speech has lost some traditional dialectal features such as neutralization of /i/ and /e/ and intervocalic voicing of /k/ and /t/. However, anticausativization remains active in his speech.</SPAN>"
hoch1243,Hoocąk (Wisconsin Hoocąk),hoch1243,Ho-Chunk,win,North America,43.5,-88.5,Siouan,Iren Hartmann,Americas,
icel1247,Icelandic,icel1247,Icelandic,isl,Eurasia,65.0,-17.0,Indo-European,Jóhanna Barðdal,Europe (and Indo-European),"<SPAN STYLE= """" >Icelandic is one of the most archaic modern Germanic languages. It has maintained most of the morphological distinctions from Old Icelandic, most of the paradigmatic distinctions and a huge proportion of the vocabulary. Some phonological changes have occurred, and some word order and constructional patterns have fallen into disuse. Icelanders of today can read Old Icelandic without problems. </SPAN>"
ital1282,Italian (Standard Italian),ital1282,Italian,ita,Eurasia,43.0,12.0,Indo-European,Michela Cennamo and Claudia Fabrizio,Europe (and Indo-European),"<SPAN STYLE= """" >Italian is a nominative-accusative language, with some domains where the encoding of arguments follows an active and marginally an ergative patterning. The syntactic function of arguments is signalled by agreement and word order for the nuclear arguments of the clause, A and P. Recipients and other non-core and peripheral arguments (i.e., adjuncts) are expressed by means of prepositions.</SPAN>"
indo1316,Jakarta Indonesian,indo1316,Indonesian,ind,Papunesia,-6.20924,106.833729,Austronesian,Thomas J. Conners and David Gil,Southeast Asia & Australia,
djam1255,Jaminjung (Both Jaminjung and Ngaliwurru varieties),djam1255,Jaminjung-Ngaliwurru,djd,Australia,-15.0833333333,130.5,Mirndi,Eva Schultze-Berndt,Southeast Asia & Australia,"<SPAN STYLE= """" >Jaminjung belongs to the small Jaminjungan (or Western Mirndi) subgroup of the geographically discontinuous Mirndi family, one of the non-Pama-Nyungan families of northern Australia. The name Jaminjung is used here for two named varieties, Jaminjung and Ngaliwurru, which are mutually intelligible and exhibit mainly lexical differences. The traditional country of Jaminjung and Ngaliwurru speakers is located north and south of the Victoria River around the present-day township of Timber Creek in the Northern Territory. Jaminjung is severely endangered in that it is no longer acquired by children; only a few dozen elderly speakers are alive today. <BR><BR>A pervasive feature of Jaminjung lexicon and grammar, which proves to be highly relevant for the discussion of verb classes and alternations, is a division of the &ldquo;verbal&rdquo; lexicon into two distinct parts of speech. This is an areal phenomenon found in a number of unrelated languages in Northern Australia.<BR>Inflecting verbs (IVs), i.e. those taking obligatory pronominal prefixes and tense and mood marking, form a closed class with only about 35 members (with some variation depending on the dialect affiliation and also the age of individual speakers). <BR>Uninflecting verbs (UVs; also known as &quot;coverbs&quot; or &quot;preverbs&quot; in the literature) can be distinguished from IVs by the fact that they cannot take verbal inflections. They are also distinguishable from nominals in that they do not co-occur with determiners such as demonstratives. UVs form an open class which can be expanded by loan words. </SPAN><SPAN STYLE= ""font-weight: bold;"" ><BR></SPAN><SPAN STYLE= """" >Predicates in Jaminjung thus can be simple (an IV on its own) or complex (a combination of an IV and one or two UVs). In addition, translation equivalents of verbs can be collocations involving nominals, e.g. expressions with a body part for feelings/pain, or expressions like </SPAN><SPAN STYLE= ""font-style:italic;"" >gugu gardbany </SPAN><SPAN STYLE= """" >'rain falls' = 'to rain'.<BR><BR>Most valency alternations in Jaminjung are only relevant for complex predicates. A valency change in this type of alternation is achieved by combining the same UV with different IVs resulting e.g. in inchoative vs. causative complex predicates. In this database, they are therefore marked as &quot;UV&quot; preceding the alternation name, and are considered coded alternations even though they are not coded by a dedicated valency-changing morphological marker. Note also that the substitution of different IVs with the same UV can also result in other semantic differences, e.g. in lexical aspect, deictic direction of motion, instrument used for contact, or other more subtle differences. In this database only valency-changing alternations are considered.</SPAN>"
nucl1643,Japanese (standard),nucl1643,Japanese,jpn,Eurasia,35.6895,139.6917,Japonic,Hideki Kishimoto and Taro Kageyama,Asia,
kett1243,Ket,kett1243,Ket,ket,Eurasia,64.0,87.0,Yeniseian,Edward J. Vajda and Elena Kryukova,Asia,"<SPAN STYLE= """" >RE: Ommission of reflexive pronouns<BR>Ket verbs regularly omit the object NP verb externally and also omit the verb-external reflexive pronoun, but the verb-internal marker that indexes this valent is never dropped for discourse reasons.<BR><BR>RE: Object omission (NP ommission)<BR>Ket regularly drops its verb-external object NP to background it in discourse. However, the verb-internal object marker remains regardless of discourse function.</SPAN>"
kore1280,Korean (Spoken Korean as used in and around Seoul),kore1280,Korean,kor,Eurasia,36.6331621,128.23242188,Koreanic,Soung-U Kim,Asia,"<SPAN STYLE= """" >Korean is spoken by approximately 70 million (Lee and Ramsey 2000: 1, Yeon 2003: 17) people mainly on the Korean peninsula. Many varieties exist also outside the peninsula, reaching from Northern China far out to Central Asia. This database shows valency properties of Modern South Korean (henceforth Korean, see also discussion below) which is based on the dialect of Seoul (see Song 2012), although contrary to standard sources such as Sohn (1999), an emphasis has been put on what is commonly used in spoken usage.<BR><BR>Korean is an agglutinating language with a basic word order often stated as SOV, although it may be flexible depending on information structure and discourse factors. Word order may become less flexible as soon as case markers are dropped, and whenever there are double nominative or double accusative constructions (see comments on ordering resources though).<BR><BR>The genetic affiliation of Korean is notoriously disputed, with three different main stances on this: The first stance is that Korean is an Altaic language (Lee 2008), the second that it might be distantly related to Japanese (Lee and Ramsey 2000), and the third that it is simply a language isolate (Sohn 1999). Especially the latter suggestion is highly misleading:<BR><BR>Firstly, monographs such as Lee and Ramsey 2000 explain that it is probable that multiple related languages were spoken by ancient kingdoms, and probably the language of Shilla gave rise to what is now considered Korean. However, data seems to be scarce and not much can be said about the different languages spoken on the Korean peninsula during that period.<BR><BR>Secondly, a huge deal of socio-politically motivated language ideology is obvious, yet far too often overlooked in Korean linguistics (and beyond), and it is curious that with 'Korean' we almost always refer to Modern Standard South Korean. Prescriptive movements and over-standardisation (see Park 2010) seems to be a popular sociolinguistic practice fed by nationalism and high pride of one's own language. As a consequence, regional variation is commonly downplayed within Korean linguistics, and as a result, material on variation of Korean covers relatively few linguistic areas and is generally very dense (see King 2006, for example).<BR><BR>The past years have seen an ongoing change of perception, at least in non-capital parts of Korea as well as international linguistics. Although not widely acknowledged yet, Jeju spoken in Jeju Province has been classified as a critically endangered language (Moseley 2010), and renowned figures in the field of endangered languages and Korean linguistics (Matthias Brenzinger, p.c. and William O'Grady, p.c.) support the view that Korean is only a language isolate by ideology, but not by empirical fact, since it should more appropriately seen as constituting a small Koreanic language family of at least two languages (see Kang 2007 for a rough sketch of Korean's little sister language Jeju). </SPAN>"
mand1415,Mandarin Chinese (PTH),mand1415,Mandarin Chinese,cmn,Eurasia,34.0,110.0,Sino-Tibetan,Guohua Zhang,Asia,
mand1436,Mandinka,mand1436,Mandinka,mnk,Africa,13.4166666667,-16.0,Mande,Denis Creissels,Africa,
mapu1245,Mapudungun,mapu1245,Mapudungun,arn,South America,-38.0,-72.0,Araucanian,Fernando Zúñiga and Leonel Lienlaf,Americas,
east2526,Mitsukaido Japanese,east2526,Eastern Japanese,,Papunesia,36.059924,139.966507,Japonic,Kan Sasaki,Asia,"<SPAN STYLE= """" >Brief description of the Mitsukaido dialect of Japanese<BR><BR>The Mitsukaido dialect of Japanese is spoken in the area around the former Mitsukaido city (now incorporated into Joso city). This area is 50km north to Tokyo, the capital of Japan. In spite of its close location to the economic and cultural center of Japan, the dialect spoken in this area displays phonological and morphosyntactic characteristics different from Standard Japanese.<BR>&#9;This dialect is classified as one of the eastern varieties of Japanese dialect. As mentioned below, this dialect shows Tohoku-like characteristics and Kanto-like characteristics simultaneously in both phonology and morphosyntax. This Janus-faced characteristic is a reflection of the geographical situation, i.e., the southern edge of Tohoku dialects.<BR>&#9;The population of Joso city is 64,880 (August 16th, 2011). Due to its low inflow of population, most of the population can be regarded as a speaker of the Mitsukaido dialect. The old generation preserves the classic type of grammatical traits, while the speech of the younger generation undergoes influence from Standard Japanese. Sasaki (2011) illustrates that the loss of dialectal features in younger generation is overwhelming but not complete. <BR>&#9;This dialect has no written tradition, but some sentences reflecting the grammatical traits of this dialect are found in the modern Japanese literature. The most well-known case is the conversational part of the novel </SPAN><SPAN STYLE= ""font-style:italic;"" >Tsuchi</SPAN><SPAN STYLE= """" > 'The Earth' written by Takashi Nagatsuka in 1910.<BR>&#9;The data used in this article is obtained from speakers aged over 80 and these data reflect traditional features.<BR>&#9;The phonemic inventory of this dialect is the same as that of Standard Japanese. This dialect has five vowel phonemes /i, e, a, o, u/ and 11 consonant phonemes /p, t, k, b, d, g, n, m, r, w, j/. The dialect lacks lexical accent.<BR>&#9;Despite of its phonemic affinity with Standard Japanese, the surface phonetic realization of cognate words is different from that of Standard Japanese because of the phonological processes not found in Standard Japanese: 'breath' is [iki] in SJ and [egi] in MD; 'square floor cushion' is [dzabutoN] in SJ and [dzaptoN] in MD. Most of the phonological processes responsible for the surface difference are those also found in Tohoku dialects, for example, intervocalic voicing of stops, regressive devoicing of /z/ and /b/, lowering of /i/ without onset, and so on. The phonological processes interact in a complex manner. Some interactions exhibit multiple opaque interactions. For the details of the interaction of phonological processes, see Sasaki (2008a). In order to avoid confusion, I adopt systematic allophones, i.e., the output of the phonological processes, as notation in this database ([ng] stands for velar nasal). <BR>&#9;Concerning the morphology relating to valency alternation, both affinity and difference are found between the Mitsukaido dialect and Standard Japanese. The voice system of the Mitsukaido dialect is almost the same as that of Standard Japanese, i.e., both the Mitsukaido dialect and Standard Japanese have productive passive, causative and potential formation, but lack productive anticausativization widely attested in the Tohoku dialects, though the phonological shape of the morphemes is not completely the same: the passive and the potential suffixes are identical to those of Standard Japanese, namely passive /rare/ and potential /e/ and /rare/, while the causative suffix is /sase/ in Standard Japanese but /rase/ in the Mitsukaido dialect. <BR>&#9;The difference between the Mitsukaido dialect and Standard Japanese is most prominent with respect to the case system. The case alignment of subject and direct object in the Mitsukaido dialect is accusative type, as in Standard Japanese. However, the morphological shapes of nominative and accusative are different. Nominative is expressed by zero-marking (in Standard Japanese, the case particle -</SPAN><SPAN STYLE= ""font-style:italic;"" >ga</SPAN><SPAN STYLE= """" > is used). Accusative case form is different depending on the animacy of the host nominal: inanimate direct objects are zero-marked while animate direct objects are case marked with the particle -</SPAN><SPAN STYLE= ""font-style:italic;"" >godo</SPAN><SPAN STYLE= """" >. This type of unmarked nominative and marked accusative system is widely attested in Tohoku dialects (some of them employ -</SPAN><SPAN STYLE= ""font-style:italic;"" >godo</SPAN><SPAN STYLE= """" > as an accusative marker). Due to having two types of accusative case marking, the Mitsukaido dialect has an uncoded valency alternation which is not found in Standard Japanese, namely double accusative possessor ascension and (unproductive) double accusative type dative alternation. For the details of double accusative constructions, see Sasaki (2002).<BR>&#9;Another feature distinguishing the Mitsukaido dialect case system from that of Standard Japanese is the degree of elaboratedness of the oblique case particles. The Mitsukaido dialect is more elaborated than Standard Japanese. The semantic sphere of the Standard Japanese dative/locative -</SPAN><SPAN STYLE= ""font-style:italic;"" >ni</SPAN><SPAN STYLE= """" > is divided among four case particles in the Mitsukaido dialect, i.e., locative -</SPAN><SPAN STYLE= ""font-style:italic;"" >ni</SPAN><SPAN STYLE= """" >, dative -</SPAN><SPAN STYLE= ""font-style:italic;"" >nge/-sa</SPAN><SPAN STYLE= """" > (-</SPAN><SPAN STYLE= ""font-style:italic;"" >nge</SPAN><SPAN STYLE= """" > is used for animate goal and -</SPAN><SPAN STYLE= ""font-style:italic;"" >sa</SPAN><SPAN STYLE= """" > is used for inanimate goal), and experiencer case -</SPAN><SPAN STYLE= ""font-style:italic;"" >ngani</SPAN><SPAN STYLE= """" >. The main usage of the experiencer case particle -</SPAN><SPAN STYLE= ""font-style:italic;"" >ngani</SPAN><SPAN STYLE= """" > is a marker for an experiencer oblique subject. The oblique case specific to experiencer is considered to be typologically rare. See Sasaki (2004) and Sasaki (2008b) for details.<BR>&#9;The elaboratedness of the adnominal case particles is also characteristic to this dialect. The Mitsukaido dialect has three adnominal case particles: possessive -</SPAN><SPAN STYLE= ""font-style:italic;"" >nga</SPAN><SPAN STYLE= """" >, genitive -</SPAN><SPAN STYLE= ""font-style:italic;"" >no</SPAN><SPAN STYLE= """" >, and adnominal locative -</SPAN><SPAN STYLE= ""font-style:italic;"" >na</SPAN><SPAN STYLE= """" >. For details on the usage of these case particles, see Sasaki (1997) and Sasaki &amp; Caluianu (1997).<BR><BR>Sasaki, Kan (1997) Possessive, Genitive and Adnominal Locative in the Mitsukaido Dialect. In: Tooru Hayashi &amp; Peri Bhaskararao (eds.), </SPAN><SPAN STYLE= ""font-style:italic;"" >Studies in Possessive Expressions</SPAN><SPAN STYLE= """" >. 117-141. Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa.<BR>Sasaki, Kan and Daniela Caluianu (1997) Mitsukaidoo hoogen no rentaishuushoku kaku [Adnominal case particles in the Mitsukaido dialect of Japanese]. </SPAN><SPAN STYLE= ""font-style:italic;"" >Gengo Kenkyu </SPAN><SPAN STYLE= """" >111. 59-83. <BR>Sasaki, Kan (2002) The double accusative possessor ascension construction in the Mitsukaido dialect of Japanese. In: Tasaku Tsunoda (ed.), </SPAN><SPAN STYLE= ""font-style:italic;"" >Basic Materials in Minority Languages 2002</SPAN><SPAN STYLE= """" >. (ELPR Publications Series B003) 91-114. <BR>Sasaki, Kan (2004) </SPAN><SPAN STYLE= ""font-style:italic;"" >Mitsukaidoo Hoogen ni okeru Kaku to Bunpookankei [Case and Grammatical Relations in the Mitsukaido Dialect of Japanese]</SPAN><SPAN STYLE= """" >. Tokyo: Kurosio Publishers.<BR>Sasaki, Kan (2008a) Hardening alternation in the Mitsukaido dialect of Japanese. </SPAN><SPAN STYLE= ""font-style:italic;"" >Gengo Kenkyu </SPAN><SPAN STYLE= """" >134. 85-117.<BR>Sasaki, Kan (2008b) What can the Mitsukaido dialect case system tell about syntactic theory? </SPAN><SPAN STYLE= ""font-style:italic;"" >Journal of General Linguistics</SPAN><SPAN STYLE= """" > 11. 53-84<BR>Sasaki, Kan (2011) Mitsukaidoo hoogen: hyoojungo ni chikai noni tooi hoogen [The Mitsukaido dialect: a dialect that is both close to and far from Standard Japanese]. In: Megumi Kurebito (ed.), </SPAN><SPAN STYLE= ""font-style:italic;"" >Nihon no Kikigengo [Endangered Languages in Japan].</SPAN><SPAN STYLE= """" > 101-138. Sapporo: Hokkaido University Press.<BR></SPAN>"
stan1318,Modern Standard Arabic (Modern Standard Arabic),stan1318,Standard Arabic,arb,Eurasia,27.96,43.85,Afro-Asiatic,Csilla Kász,Africa,"<SPAN STYLE= """" >- Language family: Afro Asiatic &gt; Semitic &gt; Centralsemitic &gt; Arabic<BR>- National language in 26 states<BR>- In all Arabic speaking communities there is a Diglossical situation with three varieties of Arabic:<BR>   1 Arabic Vernaculars - varieties of Arabic dialects, learned as a native  <BR>     language<BR>   2 Classical Arabic (CA) - the language of the Quran used in liturgical acts <BR>   3 </SPAN><SPAN STYLE= ""font-weight: bold;"" >Modern Standard Arabic (MSA)</SPAN><SPAN STYLE= """" > - used as lingua franca in inter-<BR>     dialectical comunication, in media, education, street-signs, etc.; acquired <BR>     as L2 through education<BR><BR><BR></SPAN>"
nenn1238,Nen,nenn1238,Nen,nqn,Papunesia,-8.581021,142.119141,Yam,Nicholas Evans,Southeast Asia & Australia,
nuuu1241,Nǀǀng,nuuu1241,N||ng,ngh,Africa,-28.434883,21.31897,Tuu,Martina Ernszt and Alena Witzlack-Makarevich and Tom Güldemann,Africa,
otta1242,Ojibwe (Odawa),otta1242,Ottawa,otw,North America,47.6667,-92.5,Algic,J. Randolph Valentine and Mary Ann Corbiere,Americas,
russ1263,Russian,russ1263,Russian,rus,Eurasia,56.0,38.0,Indo-European,Andrej Malchukov and Alexander Jahraus,Europe (and Indo-European),
como1259,Sliammon,como1259,Comox,coo,North America,49.906,-124.6179,Salishan,Honore Watanabe,Americas,
sril1245,Sri Lanka Malay,sril1245,Sri Lanka Malay,sci,Eurasia,6.92,79.86,Austronesian,Sebastian Nordhoff,Asia,
xara1244,Xârâcùù,xara1244,Xârâcùù,ane,Papunesia,-21.6666666667,166.0,Austronesian,Claire Moyse-Faurie,Southeast Asia & Australia,
yaqu1251,Yaqui,yaqu1251,Yaqui,yaq,North America,27.5,-110.25,Uto-Aztecan,Zarina Estrada-Fernández and Mercedes Tubino Blanco and Jesús Francisco Villalpando Quiñonez,Americas,
yoru1245,Yorùbá (Standard Yoruba),yoru1245,Yoruba,yor,Africa,8.0,4.33333333333,Atlantic-Congo,Joseph Atoyebi,Africa,
yuca1254,"Yucatec Maya (dialect of Quintana Roo, zona maya)",yuca1254,Yucatec Maya,yua,North America,19.33,-88.47,Mayan,Christian Lehmann,Americas,
zenz1235,Zenzontepec Chatino,zenz1235,Zenzontepec Chatino,czn,North America,16.5334303,-97.4953304,Otomanguean,Eric Campbell,Americas,
