ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Original_Orthography,Translation_Other,Number,Example_Type,Source,Form_IDs
even-88,even,Am-mu bujusemŋe (bisni).,am-mu\tbujusemŋe\tbi-s-ni,father-1SG.POSS\thunter\tbe-AOR-3SG,My father is a hunter.,,,,,88,Elicited from speaker,,even-be-a-hunter-1
even-87,even,Tör ileŋ bisni.,tör\tileŋ\tbi-s-ni,ground\tdry\tbe-AOR-3SG,The ground is dry.,,,,,87,Elicited from speaker,,even-be-dry-1
even-86,even,Higi durren.,higi\tdur-re-n,forest\tburn-AOR-3SG,The forest is burning.,,,,,86,Elicited from speaker,,even-burn-1
even-85,even,Moomi hirren.,moomi\thir-re-n,boat\tsink-AOR-3SG,The boat sank.,,,,,85,Elicited from speaker,,even-sink-1
even-84,even,D'ol hiruŋcin.,d'ol\thirun-ni,stone\troll-AOR.3SG,The stone rolled.,,,,,84,Elicited from speaker,,even-roll-1
even-83,even,Kuŋa nabuttan.,kuŋa\tnabut-ta-n,child\tget_upset-AOR-3SG,The child is sad.,,,,,83,Elicited from speaker,,even-be-sad-1
even-82,even,Kuŋa evin.,kuŋa\tevi-n,child\tplay-AOR.3SG,The child plays.,,,,,82,Elicited from speaker,,even-play-1
even-81,even,Asatkan kunisnan.,asatkan\tkuni-sn-a-n,girl\tscream-MOM-AOR-3SG,The girl screamed.,,,,,81,Elicited from speaker,,even-scream-1
even-80,even,Asatkan ininren.,asatkan\tinin-re-n,girl\tlaugh-AOR-3SG,The girl laughed.,,,,,80,Elicited from speaker,,even-laugh-1
even-79,even,Kuŋa (d'ula) hörren.,kuŋa\td'u-la\thör-re-n,child\thouse-LOC\tgo-AOR-3SG,The child went home.,,,,,79,Elicited from speaker,,even-go-1
even-78,even,Kuŋa tör-le teg-et-te-n.,kuŋa\ttör-le\ttege-t-te-n,child\tground-LOC\tsit-RES-AOR-3SG,The child sat on the ground.,,,,,78,Elicited from speaker,,even-sit-1;even-sit-down-1
even-77,even,Kuŋa (iasal-i) nimrun-ni.,kuŋa\tiasa-l-i\tnimrun-ni,child\teye-PL-REFL.POSS.SG\tblink-AOR.3SG,The child blinked.,,,,,77,Elicited from speaker,,even-blink-1
even-76,even,Asi kuŋav d'ula ŋalsan.,asi\tkuŋa-v\td'u-la\tŋal-sa-n,woman\tchild-ACC\thouse-LOC\tcarry-AOR-3SG,The woman carried the child home.,,,,,76,Elicited from speaker,,even-carry-1
even-75,even,Etiken meŋem (giaduk) dikenni.,etiken\tmeŋe-m\tgia-duk\tdiken-ni,old_man\tmoney-ACC\tfriend-ABL\thide-AOR.3SG,The old man hid the money (from his friend).,,,,,75,Elicited from speaker,,even-hide-1
even-74,even,Hurken kortoskev n'aŋun.,hurken\tkortoske-v\tn'aŋu-n,boy\tpotato-ACC\tpeel-AOR.3SG,The boy peeled the potatoes.,,,,,74,Elicited from speaker,,even-peel-1
even-73,even,Nimek minduk oroom gadni.,nimek\tmin-duk\toro-m\tga-d-ni,neighbor\t1SG-ABL\treindeer-ACC\ttake-AOR-3SG,The neighbor took a reindeer from me.,,,,,73,Elicited from speaker,,even-take-1
even-72,even,Etiken hurkem moč pavullan.,etiken\thurke-m\tmo-č\tpavul-la-n,old_man\tboy-ACC\tstick-INSTR\tbeat-AOR-3SG,The old man beats the boy with the stick.,,,,,72,Elicited from speaker,,even-beat-1
even-71,even,Bej d'uv (moduk) on.,bej\td'u-v\tmo-duk\to-n,man\thouse-ACC\twood-ABL\tbuild-AOR.3SG,The man built the house from wood.,,,,,71,Elicited from speaker,,even-build-2
even-70,even,Asi kuŋatki irkan.,asi\tkuŋa-tki\tirka-n,woman\tchild-ALL\tshout-AOR.3SG,The woman shouted at the child.,,,,,70,Elicited from speaker,,even-shout-at-1
even-69,even,Ŋin minu boddan.,ŋin\tmin-u\tbod-da-n,dog\t1SG-ACC\tfollow-AOR-3SG,The dog followed me.,,,,,69,Elicited from speaker,,even-follow-1
even-68,even,Asi kuŋav belren.,asi\tkuŋa-v\tbel-re-n,woman\tchild-ACC\thelp-AOR-3SG,The woman helped the child.,,,,,68,Elicited from speaker,,even-help-1
even-67,even,Asi n'uritu hussan.,asi\tn'urit-u\thus-sa-n,woman\thair-ACC\tcut-AOR-3SG,The woman cut her hair.,,,,,67,Elicited from speaker,,even-shave-a-body-part_person-1
even-66,even,Gial gömette.,gia-l\tgö-met-te,friend-PL\tsay-REC-AOR.3PL,The friends talked.,,"<SPAN STYLE= """" >The same form can also be used (even if rarely) with an object like </SPAN><SPAN STYLE= ""font-style:italic;"" >ad'it-u</SPAN><SPAN STYLE= """" > 'truth'. In both cases the reciprocal form marks cross-coreferentiality with the indirect (allative) object-addressee.</SPAN>",,,66,Elicited from speaker,,even-tell-1
even-65,even,Bej gian'un bakaldar.,bej\tgia-n'un\tbaka-lda-r,man\tfriend-COM\tfind-SOC-AOR.3PL,The man met with a friend.,,"<SPAN STYLE= """" >Here the meaning MEET is rendered by a lexicalized sociative form of </SPAN><SPAN STYLE= ""font-style:italic;"" >bak</SPAN><SPAN STYLE= """" >- 'find'; the same form allows both a transitive and a comitative intransitive pattern.</SPAN>",,,65,Elicited from speaker,,even-meet-1
even-64,even,Kuŋa avran.,kuŋa\tav-ra-n,child\twash-AOR-3SG,The child washed (himself).,,,,,64,Elicited from speaker,,even-wash-1
even-63,even,Kuŋa ŋinač ŋelren.,kuŋa\tŋina-č\tŋel-re-n,child\tdog-INSTR\tfear-AOR-3SG,The child is afraid of the dog.,,,,,63,Elicited from speaker,,even-fear-1
even-62,even,Kuŋal ŋelmette.,kuŋa-l\tŋel-met-te,child-PL\tfear-REC-AOR.3PL,The children are afraid of each other.,,"<SPAN STYLE= """" >The so-called indirect reciprocal, which marks cross-coreferentiality with an oblique (instrumental) object.</SPAN>",,,62,Elicited from speaker,,even-fear-1
even-61,even,Kuŋal avmatta.,kuŋa-l\tav-mat-ta,child-PL\twash-REC-AOR.3PL,The children washed each other.,,,,,61,Elicited from speaker,,even-wash-1
even-60,even,Ulre esni minepte.,ulre\te-s-ni\tmine-p-te,meat\tnot_do-AOR-3SG\tcut-MED-CONNEG,The meat doesn’t cut (easily).,,"<SPAN STYLE= """" >When formed from verbs which do not focus on the change-of-state, and in appropriate context (e.g. negative or with an adverb), the mediopassive form has a potential (Levin's &quot;middle&quot;) rather than anticausative interpretation.</SPAN>",,,60,Elicited from speaker,,even-cut-1
even-59,even,Oron (hiakitala) ön’etten.,oron\thiakita-la\tön’e-t-te-n,reindeer\ttree-LOC\ttie-RES-AOR-3SG,The reindeer is tied to the tree.,,,,,59,Elicited from speaker,,even-tie-1
even-58,even,Bej maptan.,bej\tma-p-ta-n,man\tkill-MED-AOR-3SG,The man was / got killed.,,"<SPAN STYLE= """" >This form can also have (exceptionally) a (auto-)reflexive meaning ('hurt oneself').</SPAN>",,,58,Elicited from speaker,,even-kill-1
even-57,even,Mö (časkala) öŋkepten.,mö\tčaska-la\töŋke-p-te-n,water\tcup-LOC\tpour-MED-AOR-3SG,The water was poured (into the cup).,,,,,57,Elicited from speaker,,even-pour-1
even-56,even,Etiken uda-la-w-ra-n.,etiken\tuda-la-w-ra-n,old_man\train-INCH-AD-AOR-3SG,The old man is caught by the rain.,,,,,56,Elicited from speaker,,even-rain-1
even-55,even,Etiken nugdedu mawran.,etiken\tnugde-du\tma-w-ra-n,old_man\tbear-DAT\tkill-AD-AOR-3SG,The old man was killed by the bear.,,,,,55,Elicited from speaker,,even-kill-1
even-54,even,Hurken tetiduk n’aŋsav tessen.,hurken\tteti-duk\tn’aŋsa-v\ttes-se-n,boy\tcloth-ABL\tdirt-ACC\twipe-AOR-3SG,The boy wiped the dirt from the cloth.,,,,,54,Elicited from speaker,,even-wipe-1
even-53,even,Asi kuŋav avran.,asi\tkuŋa-v\tav-ra-n,woman\tchild-ACC\twash-AOR-3SG,The woman washed the child.,,,,,53,Elicited from speaker,,even-wash-1
even-52,even,Hurken mavdiliv moč huŋrinni.,hurken\tmavdili-v\tmo-č\thuŋrin-ni,boy\tsnake-ACC\tstick-INSTR\ttouch-AOR.3SG,The boy touched the snake with the stick.,,,,,52,Elicited from speaker,,even-touch-1
even-51,even,Bej oro-m hiakitala ön’en.,bej\toro-m\thiakita-la\tön’e-n,man\treindeer-ACC\ttree-LOC\ttie-AOR.3SG,The man tied the reindeer to the tree.,,,,,51,Elicited from speaker,,even-tie-1
even-50,even,Bej d’eplev togla ulen.,bej\td’eple-v\ttog-la\tule-n,man\tfood-ACC\tfire-LOC\tthrow-AOR.3SG,The man threw the food into the fire.,,,,,50,Elicited from speaker,,even-throw-1
even-49,even,Bej hurkenteki ukčeneku gönni.,bej\thurken-teki\tukčenek-u\tgön-ni,man\tboy-ALL\tstory-ACC\tsay-AOR.3SG,The man told a story to the boy.,,"<SPAN STYLE= """" >Instead of </SPAN><SPAN STYLE= ""font-style:italic;"" >g&ouml;n-</SPAN><SPAN STYLE= """" > also </SPAN><SPAN STYLE= ""font-style:italic;"" >uk&#269;en-</SPAN><SPAN STYLE= """" > can be used for 'tell'.</SPAN>",,,49,Elicited from speaker,,even-tell-1
even-48,even,Hurken knigaduk stranicav atalran.,hurken\tkniga-duk\tstranica-v\tatal-ra-n,boy\tbook-ABL\tpage-ACC\ttear/remove-AOR-3SG,The boy tore the page from the book.,,,,,48,Elicited from speaker,,even-tear-1
even-47,even,Bej hurkenteki noŋandulin tören.,bej\thurken-teki\tnoŋan-duli-n\ttöre-n,man\tboy-ALL\t3SG-PROL-3SG\ttell-AOR.3SG,The man talked to the boy about him.,,,,,47,Elicited from speaker,,even-talk-1
even-46,even,Hurken knigav hupkučimŋeduk d’örmin.,hurken\tkniga-v\thupkučimŋe-duk\td’örmi-n,boy\tbook-ACC\tteacher-ABL\tsteal-AOR.3SG,The boy stole the book from the teacher.,,,,,46,Elicited from speaker,,even-steal-1
even-45,even,Bej törle tegren.,bej\ttör-le\tteg-re-n,man\tground-LOC\tsit-AOR-3SG,The man sat down (on the ground).,,,,,45,Elicited from speaker,,even-sit-down-1
even-44,even,Bej törle tegetten.,bej\ttör-le\ttege-t-te-n,man\tground-LOC\tsit-RES-AOR-3SG,The man sat on the ground.,,,,,44,Elicited from speaker,,even-sit-1;even-sit-down-1
even-43,even,Hurken (ikev) iken.,hurken\tike-v\tike-n,boy\tsong-ACC\tsing-AOR.3SG,The boy sang (a song).,,"<SPAN STYLE= """" >The cognate object is optional.</SPAN>",,,43,Elicited from speaker,,even-sing-1
even-42,even,Hurken knigav hupkučimŋedu ičukenni.,hurken\tkniga-v\thupkučimŋe-du\tič-uken-ni,boy\tbook-ACC\tteacher-DAT\tsee-CAUS-AOR.3SG,The boy showed the book to the teacher.,,,,,42,Elicited from speaker,,even-show-1
even-41,even,Bej hurkenteki irkanni.,bej\thurken-teki\tirkan-ni,man\tboy-ALL\tshout-AOR.3SG,The man shouted to/at the boy.,,,,,41,Elicited from speaker,,even-shout-at-1
even-40,even,Hupkučimŋe kuŋav skolala hörun.,hupkučimŋe\tkuŋa-v\tskola-la\thör-u-n,teacher\tchild-ACC\tschool-LOC\tgo-TR-AOR.3SG,The teacher sent the boy to school.,,,,,40,Elicited from speaker,,even-send-1
even-39,even,Bej hurkem itten.,bej\thurke-m\tit-te-n,man\tboy-ACC\tsee-AOR-3SG,The man saw the boy.,,,,,39,Elicited from speaker,,even-see-1
even-38,even,Bej hurkenteki ad’itu gönni.,bej\thurken-teki\tad’it-u\tgön-ni,man\tboy-ALL\ttruth-ACC\tsay-AOR.3SG,The man said the truth to the boy.,,,,,38,Elicited from speaker,,even-tell-1
even-37,even,Kuŋa avlanduli tutten.,kuŋa\tavlan-dula\ttut-te-n,child\tplain-LOC\trun-AOR-3SG,The child ran on the plain.,,,,,37,Elicited from speaker,,even-run-1
even-36,even,Bej hurkem d’oŋčin.,bej\thurke-m\td’oŋči-n,man\tboy-ACC\tremember-AOR.3SG,The man remembered the boy.,,,,,36,Elicited from speaker,,even-remember-1
even-35,even,Udan udnan.,udan\tudn-a-n,rain\train-AOR-3SG,It rains.,,"<SPAN STYLE= """" >Expression of the cognate subject is optional.</SPAN>",,,35,Elicited from speaker,,even-rain-1
even-34,even,Asi kuŋav telgudu nedni.,asi\tkuŋa-v\ttelgu-le\tne-d-ni,woman\tchild-ACC\tcradle-LOC\tput-AOR-3SG,The woman put the child into the cradle.,,,,,34,Elicited from speaker,,even-put-1
even-33,even,Asatkan möv miskele öŋken.,asatkan\tmö-v\tmiske-le\töŋke-n,girl\twater-ACC\tbowl-LOC\tpour-AOR.3SG,The girl poured the water into the bowl.,,,,,33,Elicited from speaker,,even-pour-1
even-32,even,Bej asatkam bakaldan.,bej\tasatka-m\tbaka-lda-n,man\tgirl-ACC\tfind-SOC-AOR.3SG,The man met the girl.,,,,,32,Elicited from speaker,,even-meet-1
even-31,even,Bej asatkam atikanŋal bun.,bej\tasatka-m\tatikanŋalbu-n,man\tgirl-ACC\tmarry-AOR.3SG,The man married the girl.,,,,,31,Elicited from speaker,,even-marry-1
even-30,even,Asi kuŋav geletten.,asi\tkuŋa-v\tgelet-te-n,woman\tchild-ACC\tlook_for-AOR-3SG,The woman looked for the child.,,,,,30,Elicited from speaker,,even-search-for-1
even-29,even,Bej kuŋav turkila inun.,bej\tkuŋa-v\tturki-la\tin-u-n,man\tchild-ACC\tsledge-LOC\tload-TR-AOR.3SG,The man loaded the child on the sledge.,,,,,29,Elicited from speaker,,even-load-1
even-28,even,Hurken bilekle bisni.,hurken\tbilek-le\tbi-s-ni,boy\tvillage-LOC\tbe-AOR-3SG,The boy lived in the village.,,"<SPAN STYLE= """" >Instead of the verb </SPAN><SPAN STYLE= ""font-style:italic;"" >bi</SPAN><SPAN STYLE= """" > 'to be', a more specific verb </SPAN><SPAN STYLE= ""font-style:italic;"" >menevd'en</SPAN><SPAN STYLE= """" >- 'reside' can also be used.</SPAN>",,,28,Elicited from speaker,,even-live-1
even-27,even,Asatkan hurkem ajavran.,asatkan\thurke-m\tajav-ra-n,girl\tboy-ACC\tlike-AOR-3SG,The girl liked/loved the boy.,,,,,27,Elicited from speaker,,even-like-1
even-26,even,Hurken (bilek-tuk) hör-re-n.,hurken\tbilek-tuk\thör-re-n,boy\tvillage-ABL\tgo-AOR-3SG,The boy went (from the village).,,,,,26,Elicited from speaker,,even-leave-1
even-25,even,Bej hurkem han.,bej\thurke-m\tha-n,man\tboy-ACC\tknow-AOR.3SG,The man knew the boy.,,,,,25,Elicited from speaker,,even-know-1
even-24,even,Hurken mavdiliv moč man.,hurken\tmavdili-v\tmo-č\tma-n,boy\tsnake-ACC\tstick-INSTR\tkill-AOR.3SG,The boy killed the snake with the stick.,,,,,24,Elicited from speaker,,even-kill-1
even-23,even,Kuŋa harandula melunni.,kuŋa\tharan-dula\tmelun-ni,child\tbed-LOC\tjump-AOR.3SG,The child jumped on the bed.,,"<SPAN STYLE= """" >In this construction the noun in the locative case can be also interpreted as goal of motion.</SPAN>",,,23,Elicited from speaker,,even-jump-1
even-22,even,Min dilu ensen.,min\tdil-u\ten-se-n,my\thead-1SG.POSS\tache-AOR-3SG,My head hurts. / I have a headache.,,,,,22,Elicited from speaker,,even-feel-pain-1
even-21,even,Bej buju-m bujussen.,bej\tbuju-m\tbujus-se-n,man\tdeer-ACC\thunt-AOR-3SG,The man hunted for deer.,,,,,21,Elicited from speaker,,even-hunt-for-1
even-20,even,Hurken huličam moč ietten.,hurken\thuliča-m\tmo-č\tiet-te-n,boy\tfox-ACC\tstick-INSTR\thit-AOR-3SG,The boy hit the fox with the stick.,,,,,20,Elicited from speaker,,even-hit-1
even-19,even,Bej kileb-u d’epten.,bej\tkileb-u\td’ep-te-n,man\tbread-ACC\teat-AOR-3SG,The man ate the bread.,,,,,19,Elicited from speaker,,even-eat-1
even-18,even,Asi tetiv tetten.,asi\tteti-v\ttet-te-n,woman\tclothes-ACC\tdress-AOR-3SG,The woman dressed/put on clothes.,,,,,18,Elicited from speaker,,even-dress-1
even-17,even,Asi kuŋav tetun.,asi\tkuŋa-v\ttetu-n,woman\tchild-ACC\tdress-AOR.3SG,The woman dressed the child.,,,,,17,Elicited from speaker,,even-dress-2
even-16,even,Etiken köken.,etiken\tköke-n,old_man\tdie-AOR.3SG,The old man died.,,,,,16,Elicited from speaker,,even-die-1
even-15,even,Hurken kilebu hirkan’ minen.,hurken\tkileb-u\thirka-n’\tmine-n,boy\tbread-ACC\tknife-INSTR\tcut-AOR.3SG,The boy cut the bread with the knife.,,,,,15,Elicited from speaker,,even-cut-1
even-14,even,Bej kuŋav ulrač dassan.,bej\tkuŋa-v\tulra-č\tdas-sa-n,man\tchild-ACC\tblanket-INSTR\tcover-AOR-3SG,The man covered the child with the blanket.,,,,,14,Elicited from speaker,,even-cover-1
even-13,even,Bej hiemkenni.,bej\thiemken-ni,man\tcough-AOR.3SG,The man coughed.,,,,,13,Elicited from speaker,,even-cough-1
even-12,even,Hurken bilekle emren.,hurken\tbilek-le\tem-re-n,boy\tvillage-LOC\tcome-AOR-3SG,The boy came (to the village).,,,,,12,Elicited from speaker,,even-come-2-1
even-11,even,Bej urekčem ojčin.,bej\turekče-m\tojči-n,man\tmountain-ACC\tclimb-AOR.3SG,The man climbed (up) the mountain.,,,,,11,Elicited from speaker,,even-climb-1
even-10,even,Bej hurkem nuŋuč gerbetten.,bej\thurke-m\tnuŋu-č\tgerbet-te-n,man\tboy-ACC\tfool-INSTR\tcall-AOR-3SG,The man called the boy a fool.,,,,,10,Elicited from speaker,,even-name-1
even-9,even,Bej d’uv d’uŋnan.,bej\td'u-v\td’uŋna-n,man\thouse-ACC\thouse_build-AOR.3SG,The man built the house.,,,,,9,Elicited from speaker,,even-build-1
even-8,even,Hurken nimektu knigav emun.,hurken\tnimek-tu\tkniga-v\tem-u-n,boy\tneighbor-DAT\tbook-ACC\tcome-TR-AOR.3SG,The boy brought the book to the neighbor.,,,,,8,Elicited from speaker,,even-bring-1
even-7,even,Hurken ŋalu moč čelgelren.,hurken\tŋal-u\tmo-č\tčelgel-re-n,boy\tarm-ACC.1SG.POSS\tstick-INSTR\tbreak-AOR-3SG,The boy broke my arm with the stick.,,,,,7,Elicited from speaker,,even-break-1
even-6,even,Hurken knigav hupkučimŋedu bön.,hurken\tkniga-v\thupkučimŋe-du\tbö-n,boy\tbook-ACC\tteacher-DAT\tgive-AOR.3SG,The boy gave the book to the teacher.,,,,,6,Elicited from speaker,,even-give-1
even-5,even,Bej hurkenteki itten.,bej\thurken-teki\tit-te-n,man\tboy-ALL\tsee-AOR-3SG,The man looked at the boy.,,,,,5,Elicited from speaker,,even-look-at-1
even-4,even,Kuŋa d’emsen.,kuŋa\td’em-se-n,child\twant_eat-AOR-3SG,The child is hungry.,,,,,4,Elicited from speaker,,even-be-hungry-1
even-3,even,Kuŋa iŋemren.,kuŋa\tiŋem-re-n,child\tfreeze-AOR-3SG,The child froze.,,,,,3,Elicited from speaker,,even-feel-cold-1
even-2,even,Bej hurkenteki [meŋem böden] gasčin.,bej\thurken-teki\tmeŋe-m\tbö-de-n\tgasči-n,man\tboy-ALL\tmoney-ACC\tgive-PURP-3SG\task-AOR.3SG,The boy asked the man for money.,,"<SPAN STYLE= """" >The C argument ('what is asked for) is expressed by the embedded converbial clauses based on 'give' (lit. asked to give money).</SPAN>",,,2,Elicited from speaker,,even-ask-for-1
even-1,even,Kuma (tala) hie-n.,kuma\ttala\thie-n,seal\tthere\tappear-AOR.3SG,There appeared a seal.,,,,,1,Elicited from speaker,,even-appear-1
german-170,german,Er lehrt Mathematik.,er\tlehrt\tMathematik,he\tteach\tmathematics,He teaches mathematics.,,,,,170,Constructed by native speaker linguist,,german-teach-2
german-169,german,Sie bat mich um Geld.,sie\tbat\tmich\tum\tGeld,she.NOM\task.3SG.PST\tme.ACC\tfor\tmoney,She asked me for money.,,,,,169,Constructed by native speaker linguist,,german-ask-for-1
german-168,german,Der König war nicht angezogen.,der\tKönig\twar\tnicht\tangezogen,DEF.M.SG.NOM\tking.SG(NOM)\tbe.PST\tNEG\tdress.PASS.PTCP,The king was not dressed.,,,,,168,Constructed by native speaker linguist,,german-dress-1
german-167,german,Er mahlt die Kaffeebohnen mit der Maschine.,er\tmahl-t\tdie\tKaffee-bohn-en\tmit\tder\tMaschine,3SG.M.NOM\tgrind-3SG.PRS\tDEF.PL.ACC\tcoffee-bean-PL(ACC)\twith\tDEF.SG.DAT\tmachine(DAT),He grinds the coffee beans with the machine.,,,,,167,Constructed by native speaker linguist,,german-grind-1
german-166,german,Der Stein fällt auf den Boden.,der\tStein\tfäll-t\tauf\tden\tBoden,DEF.M.NOM\tstone(NOM)\tfall.SG.PRS-3SG.PRS\tonto\tDEF.M.ACC\tground(DAT),The stone falls to the ground.,,,,,166,,,german-fall-1
german-165,german,Der Büßer fällt auf die Knie.,der\tBüßer\tfäll-t\tauf\tdie\tKnie,DEF.N.NOM\tpenitent(NOM)\tfall.SG.PRS-3SG.PRS\ton\tDEF.N.PL.ACC\tknee(PL.ACC),The penitent falls onto his knees.,,,,,165,,,german-fall-1
german-164,german,Es wird nach Gold gegraben.,es\twird\tnach\tGold\tge-graben,EXPL\tPASS\tfor\tgold\tPTCP-dig,The gold gets dug for.,,,,,164,,,german-dig-1
german-163,german,Die Kinder sangen.,die\tKinder\tsang-en,DEF.NOM.PL\tchildren\tsing\PST-PL,The children sang.,,,,,163,,,german-sing-1
german-162,german,Sie bekommt ein Pferd.,sie\tbekomm-t\tein\tPferd,3SG.F.NOM\tget-3SG.PRS\tINDEF.N.ACC\thorse,She gets a horse.,,,,,162,Constructed by native speaker linguist,,german-get-1
german-161,german,Lola rennt.,Lola\trenn-t,Lola\trun-3SG.PRS,Lola runs.,,,,,161,Naturalistic written,,german-run-1
german-160,german,Er setzte den Stein auf das Spielfeld.,er\tsetz-t-e\tden\tStein\tauf\tdas\tSpiel-feld,3SG.M.NOM\tput-3SG-PAST\tDEF.ACC\tstone\ton\tDEF.N.ACC\tgame-field,He puts the stone on the playing field.,,,,,160,Constructed by native speaker linguist,,german-put-3
german-159,german,Er fasst den Ofen an.,er\tfass-t\tden\tOfen\tan,3SG.M.NOM\ttouch-3SG.PRS\tDEF.M.ACC\tstove(ACC)\tVPCL,He touchs the stove.,,,,,159,Constructed by native speaker linguist,,german-touch-2
german-158,german,Ich sage kein Wort.,ich\tsag-e\tkein\tWort,1SG.NOM\tsay-1SG.PRS\tNEG.ACC\tword(ACC),I don't say a word.,,,,,158,Constructed by native speaker linguist,,german-say-1
german-157,german,Die alte Frau erzählte ein Märchen.,die\talt-e\tFrau\terzähl-te\tein\tMärchen,DEF.F.NOM\told-NOM\twoman(NOM)\ttell-3SG.PST\tINDEF.N.ACC\tfairytale(ACC),The old woman told a fairytale.,,,,,157,Constructed by native speaker linguist,,german-tell-1
german-156,german,Der Friseur rasiert ihn.,der\tFriseur\trasier-t\tihn,DEF.M.NOM\thairdresser(NOM)\tshave-3SG.PRS\t3SG.M.ACC,The hairdresser shaves him.,,,,,156,Constructed by native speaker linguist,,german-shave-a-body-part_person-1
german-155,german,Der Richter denkt über sein Urteil nach.,der\tRichter\tdenk-t\tüber\tsein\tUrteil\tnach,DEF.M.NOM\tjudge.NOM\tthink-3SG.PRS\tabout\tPOSS.3SG.M.ACC\tjudgement.ACC\tVPCL,The judge thinks about his judgement.,,,,,155,Constructed by native speaker linguist,,german-think-1
german-154,german,Der Junge fürchtet den Mann.,der\tJunge\tfürchte-t\tden\tMann,DEF.M.NOM\tboy(NOM)\tfear-3SG.PRS\tDEF.M.ACC\tman,The boy fears the man.,,,,,154,Constructed by native speaker linguist,,german-fear-2
german-153,german,Die Frau schrie.,die\tFrau\tschrie,DEF.F.NOM\twoman(NOM)\tscream\3SG.PST,The woman screamed.,,,,,153,Constructed by native speaker linguist,,german-scream-1
german-152,german,Sie blinzelt.,sie\tblinzel-t,3SG.F.NOM\tblink-3SG.PRS,She blinks.,,,,,152,Constructed by native speaker linguist,,german-blink-1
