ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,verb_type,original_script,simplex_or_complex,Basic_Coding_Frame_ID
even-give-1,,even,give,bö-,bö-,,,,,,,,,,Simplex,4867985804
even-show-1,,even,show,ič-uken-,ič-uken-,,"<SPAN STYLE= """" >This is a morphological causative from </SPAN><SPAN STYLE= ""font-style:italic;"" >it-</SPAN><SPAN STYLE= """" > 'see'.</SPAN>",,,,,,,,Complex,4867985804
even-steal-1,,even,steal,d’örmi-,d’örmi-,,,,,,,,,,Simplex,4867893054
even-hide-1,,even,hide,diken-,diken-,,"<SPAN STYLE= """" >Here, it seems that the expression of the counteragent is an adjunct (as seen by non-applicability of relativization test).</SPAN>",,,,,,,,Simplex,4867893054
even-tear-1,,even,tear,atal-,atal-,,"<SPAN STYLE= """" >Apart from </SPAN><SPAN STYLE= ""font-style:italic;"" >atal</SPAN><SPAN STYLE= """" > 'tear, remove' there are several more specific verbs of tearing like: </SPAN><SPAN STYLE= ""font-style:italic;"" >tekel-</SPAN><SPAN STYLE= """" > &lsquo;tear (to pieces)&rsquo;, </SPAN><SPAN STYLE= ""font-style:italic;"" >kolkan</SPAN><SPAN STYLE= """" > &lsquo;tear from&rsquo;.</SPAN>",,,,,,,,Simplex,4867893054
even-wipe-1,,even,wipe,tes-,tes-,,"<SPAN STYLE= ""font-style:italic;"" >tes-</SPAN><SPAN STYLE= """" > &lsquo;wipe (dust, etc.)&rsquo;, </SPAN><SPAN STYLE= ""font-style:italic;"" >av-</SPAN><SPAN STYLE= """" > &lsquo;wipe (liquid)&rsquo;.</SPAN>",,,,,,,,Simplex,4867893054
even-cut-1,,even,cut,mine-,mine-,,"<SPAN STYLE= ""font-style:italic;"" >mine</SPAN><SPAN STYLE= """" >- &lsquo;cut&rsquo;, </SPAN><SPAN STYLE= ""font-style:italic;"" >&#269;iki</SPAN><SPAN STYLE= """" >- &lsquo;cut, chop&rsquo;.</SPAN>",,,,,,,,Simplex,4868002621
even-touch-1,,even,touch,huŋri-,huŋri-,,,,,,,,,,Simplex,4868002621
even-hit-1,,even,hit,ieč-,ieč-,,,,,,,,,,Simplex,4868002621
even-beat-1,,even,beat,pavul-,pavul-,,"<SPAN STYLE= ""font-style:italic;"" >Pavul-</SPAN><SPAN STYLE= """" > implies beating with an instrument; if done with a hand/fist</SPAN><SPAN STYLE= ""font-style:italic;"" > &#269;or-</SPAN><SPAN STYLE= """" > is used.</SPAN>",,,,,,,,Unknown,4868002621
even-kill-1,,even,kill,ma-,ma-,,"<SPAN STYLE= """" >The verb may also take an instrumental adjunct (in the instrumental case).</SPAN>",,,,,,,,Simplex,4868002621
even-break-1,,even,break,čelgel-,čelgel-,,"<SPAN STYLE= """" >There is a variety of 'break' verbs depending on the kind of object destructed. </SPAN><SPAN STYLE= ""font-style:italic;"" >&#269;elgel</SPAN><SPAN STYLE= """" >- is used in particular with breaking limbs, etc.</SPAN>",,,,,,,,Simplex,4868002621
even-name-1,,even,name,gerbet-,gerbet-,,"<SPAN STYLE= """" >A denominal verb from </SPAN><SPAN STYLE= ""font-style:italic;"" >gerb</SPAN><SPAN STYLE= """" >e 'name'.</SPAN>",,,,,,,,Unknown,4868002621
even-say-1,,even,say,gö’n-,gö’n-,,,,,,,,,,Simplex,4869892183
even-tell-1,,even,tell,gö’n-,gö’n-,,,,,,,,,,Simplex,4869892183
even-ask-for-1,,even,ask-for,ulgim-,ulgim-,,,,,,,,,,Simplex,4869892183
even-talk-1,,even,talk,t’öre-,t’öre-,,"<SPAN STYLE= """" >The content of speech can be expressed in the accusative or in a postpositional phrase (see example).</SPAN>",,,,,,,,Simplex,4869819450
even-know-1,,even,know,ha-,ha-,,,,,,,,,,Simplex,4868060585
even-remember-1,,even,remember,d’öŋči-,d’öŋči-,,"<SPAN STYLE= """" >This is a resultative form from </SPAN><SPAN STYLE= ""font-style:italic;"" >d&rsquo;&ouml;n-</SPAN><SPAN STYLE= """" > 'recall'.</SPAN>",,,,,,,,Complex,4868060585
even-see-1,,even,see,it- (2),it-,,"<SPAN STYLE= """" >The same verb </SPAN><SPAN STYLE= ""font-style:italic;"" >it</SPAN><SPAN STYLE= """" >- can mean both 'look at' and 'see' but in the latter meaning it is transitive.</SPAN>",,,,,,,,Simplex,4868060585
even-look-at-1,,even,look-at,it- (1),it-,,,,,,,,,,Simplex,4867975791
even-frighten-1,,even,frighten,ŋelu-ken,ŋelu-ken,,"<SPAN STYLE= """" >This is a causative of </SPAN><SPAN STYLE= ""font-family: 'Tahoma';font-style:italic;"" >&#331;</SPAN><SPAN STYLE= ""font-style:italic;"" >el</SPAN><SPAN STYLE= """" >- 'fear'</SPAN>",,,,,,,,Complex,4868060585
even-fear-1,,even,fear,ŋel-,ŋel-,,,,,,,,,,Simplex,4868320170
even-like-1,,even,like,ajav-,ajav-,,"<SPAN STYLE= """" >The verb </SPAN><SPAN STYLE= ""font-style:italic;"" >ajav</SPAN><SPAN STYLE= """" >- means 'like, love'.</SPAN>",,,,,,,,Simplex,4868060585
even-hunt-for-1,,even,hunt-for,buju-,buju-,,,,,,,,,,Simplex,4868060585
even-meet-1,,even,meet,baka-lda-,baka-lda-,,"<SPAN STYLE= """" >This is a lexicalized sociative form of the verb </SPAN><SPAN STYLE= ""font-style:italic;"" >bak-</SPAN><SPAN STYLE= """" > 'find'.</SPAN>",,,,,,,,Unknown,4868060585
even-follow-1,,even,follow,bod-,bod-,,,,,,,,,,Simplex,4868060585
even-help-1,,even,help,bel-,bel-,,,,,,,,,,Simplex,4868060585
even-eat-1,,even,eat,d’eb-,d’eb-,,,,,,,,,,Simplex,4868060585
even-wash-1,,even,wash,av-,av-,,,,,,,,,,Simplex,4868060585
even-cough-1,,even,cough,hiemken-,hiemken-,,,,,,,,,,Simplex,4867943104
even-climb-1,,even,climb,oj-či-,oj-či-,,"<SPAN STYLE= """" >The verb includes a resultative suffix.</SPAN>",,,,,,,,Complex,4868060585
even-sit-down-1,,even,sit-down,teg-,teg-,,"<SPAN STYLE= """" >The locational argument could be ommited, but relativization shows that it is an argument. </SPAN>",,,,,,,,Simplex,4868463105
even-run-1,,even,run,tut-,tut-,,"<SPAN STYLE= """" >combines with a locative object referring to location (can be replaced by a prolative if the route is intended).</SPAN>",,,,,,,,Simplex,4868463105
even-jump-1,,even,jump,melun,melun,,"<SPAN STYLE= """" >The object in the locative case can be interpreted either as location or goal of motion.</SPAN>",,,,,,,,Simplex,4868463105
even-sing-1,,even,sing,ike-,ike-,,,,,,,,,,Simplex,4868060585
even-live-1,,even,live,bi-(s),bi-,,"<SPAN STYLE= """" >The verb </SPAN><SPAN STYLE= ""font-style:italic;"" >bi</SPAN><SPAN STYLE= """" >- has the general meaning of 'to be', but is also used in the sense of 'live, reside'.</SPAN>",,,,,,,,Simplex,4868463105
even-appear-1,,even,appear,hie,hie,,"<SPAN STYLE= """" >Also:</SPAN><SPAN STYLE= ""font-style:italic;"" > i&#269;-u</SPAN><SPAN STYLE= """" >, which is a decausative of </SPAN><SPAN STYLE= ""font-style:italic;"" >it</SPAN><SPAN STYLE= """" >- 'see'.</SPAN>",,,,,,,,Simplex,4867943104
even-die-1,,even,die,kö’ke-,kö’ke-,,,,,,,,,,Simplex,4867943104
even-fall-1,,even,fall,tik-,tik-,,,,,,,,,,Simplex,4867943104
even-feel-cold-1,,even,feel-cold,iŋem-,iŋem-,,,,,,,,,,Simplex,4867943104
even-be-hungry-1,,even,be-hungry,d’em-,d’em-,,"<SPAN STYLE= """" >Probably a contracted form of</SPAN><SPAN STYLE= ""font-style:italic;"" > d'eb-em-</SPAN><SPAN STYLE= """" > eat-DES- (desiderative suffix), lit. 'want to eat'.</SPAN>",,,,,,,,Simplex,4867943104
even-rain-1,,even,rain,udn-,udn-,,"<SPAN STYLE= """" >Is used as a part of a cognate subject construction with the (optional) subject </SPAN><SPAN STYLE= ""font-style:italic;"" >udan</SPAN><SPAN STYLE= """" > 'rain'.</SPAN>",,,,,,,,Simplex,4867943104
even-think-1,,even,think,mulgat-,mulgat-,,"<SPAN STYLE= """" >Can be a transitive verb or alternatively with the object in a postpositional phrase </SPAN><SPAN STYLE= ""font-style:italic;"" >d'ugu-li-n</SPAN><SPAN STYLE= """" > 'about'. It is a resultative form of mulga- 'think' but is more commonly used.</SPAN>",,,,,,,,Simplex,4868060585
even-search-for-1,,even,search-for,gele-t,gele-t,,"<SPAN STYLE= """" >-</SPAN><SPAN STYLE= ""font-style:italic;"" >t</SPAN><SPAN STYLE= """" > is a resultative marker.<BR>also means &quot;look for&quot;</SPAN>",,,,,,,,Complex,4868060585
even-hug-1,,even,hug,kemni-,kemni-,,,,,,,,,,Simplex,4868060585
even-feel-pain-1,,even,feel-pain,en-,en-,,"<SPAN STYLE= """" >If the body part is the subject, the experiencer can be expressed as a possessor (by a special possessive pronoun; there is no genitive on nouns). The experiencer would apear in the possessive inflection on the subject (body part) even if omitted. <BR>Also denominal verbs in -</SPAN><SPAN STYLE= ""font-style:italic;"" >m- </SPAN><SPAN STYLE= """" >derived from the body parts:</SPAN><SPAN STYLE= ""font-style:italic;"" > dila-m-</SPAN><SPAN STYLE= """" > &lsquo;have headache&rsquo; (cf. </SPAN><SPAN STYLE= ""font-style:italic;"" >dil</SPAN><SPAN STYLE= """" > &lsquo;head&rsquo;), </SPAN><SPAN STYLE= ""font-style:italic;"" >b&ouml;de-m-</SPAN><SPAN STYLE= """" > &lsquo;hurt (of a leg)&rsquo; (cf. </SPAN><SPAN STYLE= ""font-style:italic;"" >b&ouml;del</SPAN><SPAN STYLE= """" > &lsquo;leg&rsquo;) etc.</SPAN>",,,,,,,,Simplex,4867943104
even-be-sad-1,,even,be-sad,nabu-t,nabu-t,,"<SPAN STYLE= ""font-style:italic;"" >-t-</SPAN><SPAN STYLE= """" > is a resultative marker.</SPAN>",,,,,,,,Complex,4867943104
even-be-dry-1,,even,be-dry,ileŋ bi-,ileŋ bi-,,"<SPAN STYLE= """" >This is an adjective; a verb </SPAN><SPAN STYLE= ""font-style:italic;"" >olga- </SPAN><SPAN STYLE= """" >can be used in the sense 'be drying/dried' (of the fish, etc.).</SPAN>",,,,,,COP A,,Complex,4867943104
even-laugh-1,,even,laugh,inin-,inin-,,,,,,,,,,Simplex,4867943104
even-burn-1,,even,burn,dur-,dur-,,,,,,,,,,Simplex,4867943104
even-blink-1,,even,blink,nimrun-,nimrun-,,"<SPAN STYLE= """" >The reflexive marker replaces the regular accusative if a direct object is possessed by the subject (which is obligatorily so in case of body part objects).</SPAN>",,,,,,,,Unknown,4868060585
even-be-a-hunter-1,,even,be-a-hunter,bujusemŋe bi-,bujusemŋe bi-,,"<SPAN STYLE= """" >This is a (predicate) noun; </SPAN><SPAN STYLE= ""font-style:italic;"" >bujus-</SPAN><SPAN STYLE= """" > 'hunt' can be also used in a generic sense.</SPAN>",,,,,,COP N,,Complex,4867943104
even-take-1,,even,take,ga-,ga-,,,,,,,,,,Simplex,4867893054
even-peel-1,,even,peel,n'aŋu-,n'aŋu-,,,,,,,,,,Simplex,4868060585
even-shave-a-body-part_person-1,,even,shave-a-body-part_person,hus-,hus-,,"<SPAN STYLE= """" >Here, the regular transitive pattern is in alternation with the reflexive pattern used in a usual situation when the subject affects its body part.</SPAN>",,,,,,,,Unknown,4868060585
even-go-1,,even,go,hör- (1),hör-,,"<SPAN STYLE= """" >The verb </SPAN><SPAN STYLE= ""font-style:italic;"" >h&ouml;r</SPAN><SPAN STYLE= """" >- means 'go; leave'. However, relativization identifies Source (of motion) not Goal as an argument. </SPAN>",,,,,,,,Simplex,4867943104
even-roll-1,,even,roll,hirun-,hirun-,,,,,,,,,,Simplex,4867943104
even-scream-1,,even,scream,kuni-,kuni-,,"<SPAN STYLE= """" >Also </SPAN><SPAN STYLE= ""font-style:italic;"" >irka-</SPAN><SPAN STYLE= """" > 'shout' can be used in this sense.</SPAN>",,,,,,,,Simplex,4867943104
even-sink-1,,even,sink,hir-,hir-,,,,,,,,,,Simplex,4867943104
even-smell-1,,even,smell,ŋosu-t-,ŋosu-t-,,"<SPAN STYLE= ""font-style:italic;"" >-t-</SPAN><SPAN STYLE= """" > is a resultative.</SPAN>",,,,,,,,Complex,4868060585
even-dress-1,,even,dress,tet-,tet-,,,,,,,,,,Simplex,4868060585
even-dress-2,,even,dress,tet-u,tet-u,,"<SPAN STYLE= """" >-</SPAN><SPAN STYLE= ""font-style:italic;"" >u</SPAN><SPAN STYLE= """" > is a nonproductive causative marker.<BR>This is a nonproductive causative of </SPAN><SPAN STYLE= ""font-style:italic;"" >tet</SPAN><SPAN STYLE= """" >- 'dress', used when an object is animate ('dress sb.').</SPAN>",,,,,,,,Complex,4868060585
even-shout-at-1,,even,shout-at,irka,irka,,,,,,,,,,Simplex,4867975791
even-build-1,,even,build,d’uŋna-,d’uŋna-,,"<SPAN STYLE= """" >This verb is a denominal form of </SPAN><SPAN STYLE= ""font-style:italic;"" >d'u</SPAN><SPAN STYLE= """" > 'house'; usually the generic verb </SPAN><SPAN STYLE= ""font-style:italic;"" >o</SPAN><SPAN STYLE= """" >- 'make; do' is used instead. The material, if expressed, would appear in the ablative case (mo-duk 'from wood'). The object (result) argument would also be normally left unexpressed (unless modified).</SPAN>",,,,,,,,Unknown,4868060585
even-build-2,,even,build,o-,o-,,"<SPAN STYLE= ""font-style:italic;"" >o-</SPAN><SPAN STYLE= """" > has the general meaning of 'make'.</SPAN>",,,,,,,,Simplex,4867893054
even-sit-1,,even,sit,tege-t-,tege-t-,,"<SPAN STYLE= """" >This is a resultative form of </SPAN><SPAN STYLE= ""font-style:italic;"" >teg</SPAN><SPAN STYLE= """" >- 'sit down'. The resultative means 'sit, be seated'.</SPAN>",,,,,,,,Complex,4868463105
even-leave-1,,even,leave,hör- (2),hör-,,"<SPAN STYLE= """" >The verb </SPAN><SPAN STYLE= ""font-style:italic;"" >h&ouml;r-</SPAN><SPAN STYLE= """" > means 'go; leave'.</SPAN>",,,,,,,,Simplex,4868856329
even-play-1,,even,play,evi-,evi-,,,,,,,,,,Simplex,4867943104
even-marry-1,,even,marry,atikanŋalbu-,atikanŋalbu-,,"<SPAN STYLE= """" >Also </SPAN><SPAN STYLE= ""font-style:italic;"" >miren-</SPAN><SPAN STYLE= """" > can be used.</SPAN>",,,,,,,,Unknown,4868060585
even-come-2-1,,even,come-2,em-,em-,,,,,,,,,,Simplex,4868463105
german-cover-1,,german,cover,zudecken,zudecken,,,,,,,,,,Unknown,2710206975
german-fill-1,,german,fill,füllen,füllen,,,,,,,,,,Simplex,9268861843
german-load-1,,german,load,laden,laden,,,,,,,,,,Simplex,8264294052
german-tie-1,,german,tie,anbinden,anbinden,,"<SPAN STYLE= """" >The location can be added as adjunct. If there is an overt location, the particle an is optional (and preferably omitted in formal language).</SPAN>",,,,,,,,Complex,2710206975
german-pour-1,,german,pour,gießen,gießen,,,,,,,,,,Simplex,8628483606
german-put-1,,german,put,stellen,stellen,,,,,,,,,,Simplex,8628483606
german-put-2,,german,put,legen,legen,,,,,,,,,,Simplex,8628483606
german-put-3,,german,put,setzen,setzen,,,,,,,,,,Simplex,8628483606
german-throw-1,,german,throw,werfen,werfen,,,,,,,,,,Simplex,8628483606
german-bring-1,,german,bring,bringen,bringen,,,,,,,,,,Simplex,8264294048
german-carry-1,,german,carry,tragen,tragen,,"<SPAN STYLE= """" >the goal is optional</SPAN>",,,,,,,,Simplex,2710206975
german-send-1,,german,send,schicken,schicken,,,,,,,,,,Simplex,8264294048
german-give-1,,german,give,geben,geben,,,,,,,,,,Simplex,8264294048
german-show-1,,german,show,zeigen,zeigen,,,,,,,,,,Simplex,8264294048
german-steal-1,,german,steal,stehlen,stehlen,,,,,,,,,,Simplex,8264294048
german-hide-1,,german,hide,verstecken,verstecken,,"<SPAN STYLE= """" >the hiding affectee can be expressed with an adjunct</SPAN>",,,,,,,,Simplex,12188062819
german-tear-1,,german,tear,reißen,reißen,,,,,,,,,,Simplex,3583778286
german-wipe-1,,german,wipe,wischen,wischen,,,,,,,,,,Simplex,8628483606
german-cut-1,,german,cut,schneiden,schneiden,,,,,,,,,,Simplex,2710206975
german-touch-1,,german,touch,berühren,berühren,,,,,,,,,,Simplex,2710206975
german-touch-2,,german,touch,anfassen,anfassen,,,,,,,,,,Complex,2710206975
german-hit-1,,german,hit,schlagen,schlagen,,,,,,,,,,Simplex,2710206975
german-beat-1,,german,beat,schlagen,schlagen,,,,,,,,,,Simplex,2710206975
german-kill-1,,german,kill,umbringen,umbringen,,,,,,,,,,Simplex,2710206975
german-kill-2,,german,kill,töten,töten,,,,,,,,,,Simplex,2710206975
german-break-1,,german,break,zerbrechen,zerbrechen,,,,,,,,,,Simplex,2710206975
german-name-1,,german,name,nennen,nennen,,,,,,,,,,Simplex,2960409349
german-say-1,,german,say,sagen,sagen,,,,,,,,,,Simplex,12275228306
german-tell-1,,german,tell,erzählen,erzählen,,,,,,,,,,Simplex,2710206975
german-ask-for-1,,german,ask-for,bitten,bitten,,,,,,,,,,Simplex,2960392624
german-talk-1,,german,talk,sprechen,sprechen,,,,,,,,,,Simplex,8264294055
german-talk-2,,german,talk,reden,reden,,,,,,,,,,Simplex,8264294055
german-know-1,,german,know,kennen,kennen,,,,,,,,,,Simplex,2710206975
german-see-1,,german,see,sehen,sehen,,,,,,,,,,Simplex,2710206975
german-look-at-1,,german,look-at,anschauen,anschauen,,,,,,,,,,Complex,2710206975
german-frighten-1,,german,frighten,erschrecken,erschrecken,,"<SPAN STYLE= """" >This verb does not occur in the Ambitransitive Alternation, but there is a closely related verb (</SPAN><SPAN STYLE= ""font-style:italic;"" >erschrecken</SPAN><SPAN STYLE= """" >, past tense </SPAN><SPAN STYLE= ""font-style:italic;"" >erschrak</SPAN><SPAN STYLE= """" >) which has the corresponding intransitive meaning ('get frightened'). Since this is an idiosyncratic pair of verbs, it is not treated as an alternation here.</SPAN>",,,,,,,,Complex,2710206975
german-fear-1,,german,fear,Angst haben,Angst haben,,,,,,,,NV,,Complex,2960315448
german-fear-2,,german,fear,fürchten,fürchten,,,,,,,,,,Simplex,2710206975
german-like-1,,german,like,mögen,mögen,,,,,,,,,,Simplex,2710206975
german-like-2,,german,like,gefallen,gefallen,,,,,,,,,,Simplex,8264294087
german-meet-1,,german,meet,treffen,treffen,,,,,,,,,,Simplex,2710206975
german-follow-1,,german,follow,folgen,folgen,,"<SPAN STYLE= """" >We did not take into acount: </SPAN><SPAN STYLE= ""font-style:italic;"" >folgen</SPAN><SPAN STYLE= """" > in </SPAN><SPAN STYLE= ""font-style:italic;"" >einen Gedanken ver-folgen</SPAN><SPAN STYLE= """" > 'follow a thought' or in </SPAN><SPAN STYLE= ""font-style:italic;"" >Regeln be-folgen</SPAN><SPAN STYLE= """" > 'follow the rules'.</SPAN>",,,,,,,,Simplex,8413570789
german-help-1,,german,help,helfen,helfen,,,,,,,,,,Simplex,8413570789
german-eat-1,,german,eat,essen,essen,,,,,,,,,,Simplex,2710206975
german-wash-1,,german,wash,waschen,waschen,,,,,,,,,,Simplex,2710206975
german-cough-1,,german,cough,husten,husten,,,,,,,,,,Simplex,8196509400
german-climb-1,,german,climb,klettern,klettern,,,,,,,,,,Simplex,8628677223
german-sit-down-1,,german,sit-down,sich hinsetzen,sich hinsetzen,,,,,,,,,,Complex,8196509400
german-run-1,,german,run,rennen,rennen,,,,,,,,,,Simplex,8196509400
german-jump-1,,german,jump,springen,springen,,,,,,,,,,Simplex,8628677223
german-jump-2,,german,jump,hüpfen,hüpfen,,,,,,,,,,Simplex,8628677223
german-sing-1,,german,sing,singen,singen,,,,,,,,,,Simplex,8196509400
german-live-1,,german,live,leben,leben,,,,,,,,,,Simplex,8628677223
german-live-2,,german,live,wohnen,wohnen,,,,,,,,,,Simplex,8628677223
german-appear-1,,german,appear,erscheinen,erscheinen,,,,,,,,,,Simplex,8628677223
german-die-1,,german,die,sterben,sterben,,,,,,,,,,Simplex,8196509400
german-fall-1,,german,fall,fallen,fallen,,"<SPAN STYLE= """" >hin-</SPAN>",,,,,,,,Simplex,8628677223
german-feel-cold-1,,german,feel-cold,kalt sein,kalt sein,,,,,,,,COP A,,Complex,8637238044
german-be-hungry-1,,german,be-hungry,Hunger haben,Hunger haben,,,,,,,,NV,,Complex,8196509400
german-rain-1,,german,rain,regnen,regnen,,,,,,,,,,Simplex,10485425589
german-get-1,,german,get,bekommen,bekommen,,,,,,,,,,Simplex,2710206975
german-cry-1,,german,cry,weinen,weinen,,,,,,,,,,Complex,8196509400
german-make-1,,german,make,machen,machen,,,,,,,,,,Simplex,2710206975
german-think-1,,german,think,nachdenken,nachdenken,,"<SPAN STYLE= """" >thought content can be added as adjunct</SPAN>",,,,,,,,Complex,8196509400
german-think-2,,german,think,denken,denken,,,,,,,,,,Simplex,3064622350
german-search-for-1,,german,search-for,suchen,suchen,,,,,,,,,,Simplex,2710206975
german-hug-1,,german,hug,umarmen,umarmen,,,,,,,,,,Simplex,2710206975
german-feel-pain-1,,german,feel-pain,weh tun,weh tun,,"<SPAN STYLE= ""font-style:italic;"" >weh tun</SPAN><SPAN STYLE= """" > can be used to express 'E feels pain in M' but also for expressing 'A hurts P'.</SPAN>",,,,,,AV,,Complex,8264294087
german-be-sad-1,,german,be-sad,traurig sein,traurig sein,,,,,,,,,,Complex,8196509400
german-be-sad-2,,german,be-sad,trauern,trauern,,,,,,,,,,Simplex,8196509400
german-be-ill-1,,german,be-ill,krank sein,krank sein,,,,,,,,COP A,,Simplex,8196509400
german-be-dry-1,,german,be-dry,trocken sein,trocken sein,,,,,,,,COP A,,Simplex,8196509400
german-laugh-1,,german,laugh,lachen,lachen,,,,,,,,,,Simplex,8196509400
german-burn-1,,german,burn,brennen,brennen,,,,,,,,,,Simplex,8196509400
german-blink-1,,german,blink,blinzeln,blinzeln,,,,,,,,,,Simplex,8196509400
german-be-a-hunter-1,,german,be-a-hunter,Jäger sein,Jäger sein,,,,,,,,COP N,,Complex,8196509400
german-take-1,,german,take,nehmen,nehmen,,,,,,,,,,Simplex,2710206975
german-dig-1,,german,dig,graben,graben,,,,,,,,,,Simplex,2891289685
german-peel-1,,german,peel,schälen,schälen,,,,,,,,,,Simplex,2710206975
german-grind-1,,german,grind,mahlen,mahlen,,,,,,,,,,Simplex,2710206975
german-shave-a-body-part_person-1,,german,shave-a-body-part_person,rasieren,rasieren,,,,,,,,,,Simplex,2710206975
german-push-1,,german,push,stoßen,stoßen,,,,,,,,,,Simplex,8628483606
german-push-2,,german,push,schieben,schieben,,,,,,,,,,Simplex,8628483606
german-push-3,,german,push,schubsen,schubsen,,,,,,,,,,Simplex,8628483606
german-go-1,,german,go,gehen,gehen,,,,,,,,,,Simplex,8628677223
german-roll-1,,german,roll,rollen,rollen,,,,,,,,,,Simplex,8196509400
german-teach-1,,german,teach,beibringen,beibringen,,,,,,,,,,Simplex,8264294048
german-teach-2,,german,teach,lehren,lehren,,,,,,,,,,Simplex,2710206975
german-scream-1,,german,scream,schreien,schreien,,,,,,,,,,Simplex,8196509400
german-cook-1,,german,cook,kochen (1),kochen,,,,,,,,,,Simplex,2710206975
german-hear-1,,german,hear,hören,hören,,,,,,,,,,Simplex,2710206975
german-want-1,,german,want,wollen,wollen,,,,,,,,,,Simplex,2710206975
german-sink-1,,german,sink,sinken,sinken,,,,,,,,,,Simplex,8196509400
german-boil-1,,german,boil,kochen (2),kochen,,,,,,,,,,Simplex,8196509400
german-smell-1,,german,smell,riechen,riechen,,,,,,,,,,Simplex,2710206975
german-dress-1,,german,dress,anziehen,anziehen,,,,,,,,,,Simplex,2710206975
german-shout-at-1,,german,shout-at,anschreien,anschreien,,,,,,,,,,Complex,2710206975
